Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.151,0.0001,0,0,0,0
0日00:00:01,5.15,0.0001,0,0,0,0
0日00:00:02,5.145,0.059,0.0001,0,1,1
0日00:00:03,5.135,0.0712,0.0002,0,2.2,2.21
0日00:00:04,5.145,0.07,0.0003,0.0001,3.38,3.4
0日00:00:05,5.175,0.0692,0.0004,0.0001,4.56,4.58
0日00:00:06,5.175,0.0685,0.0005,0.0001,5.72,5.74
0日00:00:07,5.175,0.0683,0.0006,0.0001,6.88,6.9
0日00:00:08,5.175,0.0677,0.0007,0.0001,8.03,8.05
0日00:00:09,5.174,0.0864,0.0008,0.0002,9.5,9.51
0日00:00:10,5.172,0.1636,0.001,0.0002,12.28,12.29
0日00:00:11,5.172,0.0677,0.0011,0.0002,13.43,13.44
0日00:00:12,5.171,0.0734,0.0012,0.0002,14.67,14.69
0日00:00:13,5.173,0.0665,0.0013,0.0003,15.8,15.81
0日00:00:14,5.179,0.0533,0.0014,0.0003,16.71,16.72
0日00:00:15,5.179,0.0533,0.0015,0.0003,17.61,17.62
0日00:00:16,5.179,0.0533,0.0016,0.0003,18.52,18.53
0日00:00:17,5.179,0.0533,0.0016,0.0003,19.43,19.43
0日00:00:18,5.178,0.0545,0.0017,0.0003,20.35,20.36
0日00:00:19,5.148,0.0666,0.0018,0.0004,21.48,21.49
0日00:00:20,5.167,0.0905,0.0019,0.0004,23.01,23.02
0日00:00:21,5.175,0.0658,0.002,0.0004,24.13,24.14
0日00:00:22,5.178,0.0531,0.0021,0.0004,25.03,25.04
0日00:00:23,5.178,0.0531,0.0022,0.0004,25.94,25.94
0日00:00:24,5.178,0.0531,0.0023,0.0004,26.84,26.85
0日00:00:25,5.178,0.0533,0.0023,0.0005,27.74,27.75
0日00:00:26,5.178,0.0532,0.0024,0.0005,28.65,28.65
0日00:00:27,5.178,0.0653,0.0025,0.0005,29.76,29.76
0日00:00:28,5.166,0.0658,0.0026,0.0005,30.87,30.88
0日00:00:29,5.173,0.0733,0.0027,0.0005,32.12,32.12
0日00:00:30,5.173,0.0648,0.0028,0.0005,33.22,33.22
0日00:00:31,5.178,0.0531,0.0029,0.0006,34.12,34.12
0日00:00:32,5.178,0.0531,0.003,0.0006,35.03,35.03
0日00:00:33,5.178,0.0532,0.003,0.0006,35.93,35.93
0日00:00:34,5.178,0.0532,0.0031,0.0006,36.83,36.83
0日00:00:35,5.178,0.0544,0.0032,0.0006,37.76,37.75
0日00:00:36,5.148,0.0662,0.0033,0.0006,38.88,38.88
0日00:00:37,5.16,0.0904,0.0034,0.0007,40.41,40.41
0日00:00:38,5.172,0.0743,0.0035,0.0007,41.67,41.67
0日00:00:39,5.178,0.0532,0.0036,0.0007,42.57,42.58
0日00:00:40,5.178,0.0531,0.0037,0.0007,43.48,43.48
0日00:00:41,5.178,0.0531,0.0038,0.0007,44.38,44.38
0日00:00:42,5.178,0.0532,0.0038,0.0007,45.28,45.28
0日00:00:43,5.178,0.0532,0.0039,0.0008,46.19,46.19
0日00:00:44,5.178,0.0557,0.004,0.0008,47.13,47.13
0日00:00:45,5.145,0.066,0.0041,0.0008,48.25,48.25
0日00:00:46,5.168,0.0901,0.0042,0.0008,49.78,49.78
0日00:00:47,5.172,0.0653,0.0043,0.0008,50.89,50.89
0日00:00:48,5.178,0.0531,0.0044,0.0008,51.79,51.79
0日00:00:49,5.178,0.0532,0.0045,0.0009,52.69,52.69
0日00:00:50,5.178,0.0532,0.0045,0.0009,53.6,53.6
0日00:00:51,5.178,0.0532,0.0046,0.0009,54.5,54.5
0日00:00:52,5.178,0.0533,0.0047,0.0009,55.41,55.4
0日00:00:53,5.15,0.1545,0.0049,0.0009,58.02,58.03
0日00:00:54,5.161,0.0905,0.005,0.001,59.55,59.56
0日00:00:55,5.172,0.0746,0.0051,0.001,60.82,60.83
