This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1450,0.0685,0.0001,0.0000,0.65,0.65
0日00:00:01,5.1450,0.0678,0.0002,0.0000,1.29,1.30
0日00:00:02,5.1450,0.0675,0.0003,0.0001,1.93,1.94
0日00:00:03,5.1450,0.0671,0.0004,0.0001,2.56,2.58
0日00:00:04,5.1430,0.0786,0.0005,0.0001,3.31,3.32
0日00:00:05,5.1410,0.0669,0.0006,0.0001,3.94,3.96
0日00:00:06,5.1450,0.0662,0.0007,0.0001,4.57,4.59
0日00:00:07,5.1410,0.0670,0.0008,0.0002,5.20,5.23
0日00:00:08,5.1450,0.0671,0.0009,0.0002,5.83,5.86
0日00:00:09,5.1450,0.0669,0.0010,0.0002,6.47,6.50
0日00:00:10,5.1450,0.0669,0.0011,0.0002,7.10,7.14
0日00:00:11,5.1450,0.0669,0.0012,0.0002,7.73,7.77
0日00:00:12,5.1420,0.0854,0.0013,0.0003,8.54,8.58
0日00:00:13,5.1410,0.0854,0.0014,0.0003,9.35,9.40
0日00:00:14,5.1430,0.0661,0.0015,0.0003,9.97,10.03
0日00:00:15,5.1400,0.0676,0.0016,0.0003,10.61,10.67
0日00:00:16,5.1440,0.0668,0.0017,0.0003,11.24,11.30
0日00:00:17,5.1440,0.0669,0.0018,0.0003,11.88,11.94
0日00:00:18,5.1450,0.0669,0.0019,0.0004,12.51,12.58
0日00:00:19,5.1450,0.0669,0.0020,0.0004,13.14,13.21
0日00:00:20,5.1420,0.0854,0.0021,0.0004,13.95,14.02
0日00:00:21,5.1400,0.0853,0.0022,0.0004,14.76,14.84
0日00:00:22,5.1430,0.0663,0.0023,0.0005,15.38,15.47
0日00:00:23,5.1380,0.0675,0.0024,0.0005,16.02,16.11
0日00:00:24,5.1440,0.0670,0.0025,0.0005,16.65,16.74
0日00:00:25,5.1440,0.0666,0.0026,0.0005,17.28,17.38
0日00:00:26,5.1440,0.0668,0.0027,0.0005,17.92,18.01
