Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,
0日00:00:00,5.175,0.0523,0.0001,0,2.93,2.92,,
0日00:00:01,5.172,0.0601,0.0002,0,6.3,6.29,0.08355,30mA
0日00:00:02,5.162,0.1932,0.0004,0.0001,17.1,17.09,,
0日00:00:03,5.164,0.0686,0.0005,0.0001,20.93,20.92,,
0日00:00:04,5.171,0.0677,0.0006,0.0001,24.73,24.71,,
0日00:00:05,5.171,0.0677,0.0007,0.0001,28.52,28.5,,
0日00:00:06,5.17,0.0674,0.0008,0.0002,32.29,32.27,,
0日00:00:07,5.17,0.0753,0.0009,0.0002,36.51,36.48,,
0日00:00:08,5.168,0.0684,0.001,0.0002,40.33,40.3,,
0日00:00:09,5.166,0.0683,0.0011,0.0002,44.15,44.12,0.0689,15mA
0日00:00:10,5.166,0.0862,0.0013,0.0002,48.98,48.94,,
0日00:00:11,5.167,0.0677,0.0014,0.0003,52.77,52.73,,
0日00:00:12,5.173,0.0534,0.0014,0.0003,55.76,55.71,,
0日00:00:13,5.174,0.0533,0.0015,0.0003,58.74,58.69,,
0日00:00:14,5.174,0.0532,0.0016,0.0003,61.72,61.67,,
0日00:00:15,5.174,0.0532,0.0017,0.0003,64.71,64.64,,
0日00:00:16,5.174,0.0532,0.0017,0.0003,67.69,67.62,,
0日00:00:17,5.125,0.193,0.002,0.0004,78.4,78.41,,
0日00:00:18,5.149,0.0872,0.0021,0.0004,83.26,83.29,,
0日00:00:19,5.168,0.0742,0.0022,0.0004,87.41,87.43,,
0日00:00:20,5.169,0.0653,0.0023,0.0005,91.07,91.09,,
0日00:00:21,5.174,0.0531,0.0024,0.0005,94.04,94.06,,
0日00:00:22,5.174,0.0531,0.0025,0.0005,97.02,97.03,,
0日00:00:23,5.174,0.0532,0.0026,0.0005,100,100,,
0日00:00:24,5.174,0.0532,0.0026,0.0005,102.98,102.97,,
