Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.119,0.0383,0.0001,0,1.87,1.88
0日00:00:01,5.14,0.0595,0.0001,0,4.79,4.8
0日00:00:02,5.143,0.0766,0.0002,0,8.56,8.56
0日00:00:03,5.133,0.0717,0.0004,0.0001,12.07,12.08
0日00:00:04,5.138,0.0705,0.0005,0.0001,15.53,15.54
0日00:00:05,5.138,0.0698,0.0006,0.0001,18.96,18.96
0日00:00:06,5.139,0.0695,0.0007,0.0001,22.37,22.37
0日00:00:07,5.139,0.0723,0.0008,0.0001,25.92,25.92
0日00:00:08,5.137,0.0695,0.0009,0.0002,29.33,29.33
0日00:00:09,5.137,0.0691,0.001,0.0002,32.72,32.72
0日00:00:10,5.136,0.0806,0.0011,0.0002,36.67,36.68
0日00:00:11,5.138,0.0685,0.0012,0.0002,40.03,40.04
0日00:00:12,5.144,0.0546,0.0012,0.0002,42.72,42.72
0日00:00:13,5.143,0.0636,0.0013,0.0003,45.84,45.84
0日00:00:14,5.138,0.0705,0.0014,0.0003,49.3,49.3
0日00:00:15,5.135,0.073,0.0015,0.0003,52.88,52.88
0日00:00:16,5.139,0.0663,0.0016,0.0003,56.14,56.13
0日00:00:17,5.143,0.054,0.0017,0.0003,58.79,58.78
0日00:00:18,5.127,0.1038,0.0019,0.0004,63.87,63.87
0日00:00:19,5.13,0.0856,0.002,0.0004,68.07,68.07
0日00:00:20,5.137,0.066,0.0021,0.0004,71.31,71.31
0日00:00:21,5.142,0.0548,0.0022,0.0004,74,74
0日00:00:22,5.143,0.0565,0.0022,0.0004,76.77,76.78
0日00:00:23,5.137,0.0661,0.0023,0.0005,80.02,80.02
0日00:00:24,5.135,0.0836,0.0024,0.0005,84.12,84.12
0日00:00:25,5.136,0.0661,0.0025,0.0005,87.36,87.36
0日00:00:26,5.143,0.0539,0.0026,0.0005,90.01,90.01
0日00:00:27,5.143,0.0625,0.0027,0.0005,93.08,93.08
0日00:00:28,5.138,0.0683,0.0028,0.0005,96.43,96.43
0日00:00:29,5.136,0.0728,0.0029,0.0006,100,100
0日00:00:30,5.137,0.0659,0.003,0.0006,103.23,103.23
