Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,
0日00:00:00,5.157,0.0001,0,0,0,0,,
0日00:00:01,5.143,0.0611,0.0001,0,0.97,0.98,,
0日00:00:02,5.139,0.0593,0.0002,0,1.91,1.92,,
0日00:00:03,5.134,0.1465,0.0004,0.0001,4.23,4.26,,0.019630769
0日00:00:04,5.133,0.0677,0.0005,0.0001,5.31,5.34,,
0日00:00:05,5.138,0.0693,0.0006,0.0001,6.4,6.45,,
0日00:00:06,5.138,0.0681,0.0007,0.0001,7.48,7.53,,
0日00:00:07,5.138,0.0675,0.0008,0.0001,8.56,8.61,,
0日00:00:08,5.138,0.0849,0.0009,0.0002,9.9,9.96,,
0日00:00:09,5.137,0.0667,0.001,0.0002,10.96,11.03,,
0日00:00:10,5.135,0.0671,0.0011,0.0002,12.02,12.1,,
0日00:00:11,5.134,0.0791,0.0012,0.0002,13.28,13.36,,
0日00:00:12,5.136,0.0672,0.0013,0.0003,14.34,14.43,,
0日00:00:13,5.142,0.0527,0.0014,0.0003,15.18,15.27,,
0日00:00:14,5.142,0.0526,0.0014,0.0003,16.01,16.11,,
0日00:00:15,5.142,0.0527,0.0015,0.0003,16.85,16.95,,
0日00:00:16,5.142,0.0526,0.0016,0.0003,17.68,17.79,,
0日00:00:17,5.142,0.0527,0.0017,0.0003,18.52,18.63,,
0日00:00:18,5.141,0.0726,0.0018,0.0003,19.67,19.79,,
0日00:00:19,5.152,0.0663,0.0019,0.0004,20.73,20.85,,
0日00:00:20,5.178,0.0846,0.002,0.0004,22.08,22.2,,
0日00:00:21,5.181,0.0536,0.0021,0.0004,22.93,23.06,,
0日00:00:22,5.184,0.0532,0.0021,0.0004,23.79,23.9,,
0日00:00:23,5.184,0.0532,0.0022,0.0004,24.64,24.75,,
0日00:00:24,5.184,0.0534,0.0023,0.0004,25.49,25.61,,
0日00:00:25,5.184,0.0534,0.0024,0.0005,26.35,26.46,,
0日00:00:26,5.184,0.0548,0.0025,0.0005,27.22,27.33,,
0日00:00:27,5.17,0.0666,0.0025,0.0005,28.29,28.39,,
0日00:00:28,5.173,0.0905,0.0027,0.0005,29.73,29.84,,
0日00:00:29,5.18,0.0659,0.0028,0.0005,30.78,30.89,,
0日00:00:30,5.184,0.0532,0.0028,0.0006,31.63,31.74,,
0日00:00:31,5.184,0.0533,0.0029,0.0006,32.49,32.59,,
0日00:00:32,5.184,0.0533,0.003,0.0006,33.34,33.44,,
0日00:00:33,5.184,0.0533,0.0031,0.0006,34.19,34.29,,
0日00:00:34,5.184,0.0534,0.0032,0.0006,35.05,35.14,,
0日00:00:35,5.182,0.0736,0.0033,0.0006,36.22,36.32,,
0日00:00:36,5.172,0.0905,0.0034,0.0007,37.67,37.76,,
0日00:00:37,5.178,0.0733,0.0035,0.0007,38.84,38.93,,
0日00:00:38,5.179,0.0641,0.0036,0.0007,39.87,39.95,,
0日00:00:39,5.183,0.0532,0.0037,0.0007,40.72,40.8,,
0日00:00:40,5.183,0.0532,0.0037,0.0007,41.57,41.65,,
0日00:00:41,5.183,0.0533,0.0038,0.0007,42.42,42.5,,
0日00:00:42,5.183,0.0533,0.0039,0.0008,43.27,43.35,,
0日00:00:43,5.183,0.0547,0.004,0.0008,44.15,44.22,,
0日00:00:44,5.168,0.1491,0.0042,0.0008,46.53,46.6,,
0日00:00:45,5.172,0.0905,0.0043,0.0008,47.97,48.05,,
0日00:00:46,5.178,0.0728,0.0044,0.0009,49.13,49.21,,
0日00:00:47,5.183,0.0534,0.0045,0.0009,49.99,50.06,,
0日00:00:48,5.183,0.0532,0.0046,0.0009,50.84,50.91,,
0日00:00:49,5.183,0.0532,0.0047,0.0009,51.69,51.76,,
0日00:00:50,5.183,0.0534,0.0047,0.0009,52.54,52.61,,
0日00:00:51,5.183,0.0534,0.0048,0.0009,53.4,53.46,,
0日00:00:52,5.183,0.0559,0.0049,0.0009,54.29,54.35,,
0日00:00:53,5.17,0.0659,0.005,0.001,55.34,55.41,,
0日00:00:54,5.177,0.0733,0.0051,0.001,56.52,56.58,,
0日00:00:55,5.178,0.064,0.0052,0.001,57.54,57.6,,
0日00:00:56,5.183,0.0532,0.0053,0.001,58.39,58.45,,
0日00:00:57,5.183,0.0532,0.0053,0.001,59.24,59.29,,
0日00:00:58,5.183,0.0533,0.0054,0.001,60.09,60.14,,
0日00:00:59,5.183,0.0534,0.0055,0.0011,60.95,61,,
0日00:01:00,5.183,0.0534,0.0056,0.0011,61.8,61.85,,
0日00:01:01,5.151,0.1523,0.0058,0.0011,64.22,64.28,,
0日00:01:02,5.165,0.0905,0.0059,0.0011,65.66,65.72,,
0日00:01:03,5.177,0.0735,0.006,0.0012,66.84,66.9,,
0日00:01:04,5.18,0.0582,0.0061,0.0012,67.77,67.82,,
0日00:01:05,5.182,0.0532,0.0062,0.0012,68.62,68.67,,
0日00:01:06,5.183,0.0533,0.0063,0.0012,69.47,69.52,,
