Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),
0日00:00:00,5.191,0.0327,0,0,0.55,0.54,
0日00:00:01,5.179,0.0596,0.0001,0,1.54,1.54,0.019566667
0日00:00:02,5.179,0.0735,0.0002,0,2.76,2.76,
0日00:00:03,5.17,0.0697,0.0003,0.0001,3.92,3.92,
0日00:00:04,5.177,0.0691,0.0004,0.0001,5.07,5.07,
0日00:00:05,5.177,0.0683,0.0005,0.0001,6.21,6.2,
0日00:00:06,5.177,0.0681,0.0006,0.0001,7.34,7.34,
0日00:00:07,5.177,0.0677,0.0007,0.0001,8.47,8.46,
0日00:00:08,5.174,0.0834,0.0009,0.0002,9.86,9.85,
0日00:00:09,5.172,0.1159,0.001,0.0002,11.78,11.78,
0日00:00:10,5.173,0.0862,0.0011,0.0002,13.22,13.21,
0日00:00:11,5.173,0.0678,0.0012,0.0002,14.35,14.34,
0日00:00:12,5.18,0.0535,0.0013,0.0003,15.24,15.23,
0日00:00:13,5.18,0.0533,0.0014,0.0003,16.13,16.12,
0日00:00:14,5.18,0.0534,0.0015,0.0003,17.02,17.01,
0日00:00:15,5.18,0.0534,0.0015,0.0003,17.9,17.89,
0日00:00:16,5.18,0.0534,0.0016,0.0003,18.79,18.78,
0日00:00:17,5.175,0.0971,0.0018,0.0003,20.41,20.4,
0日00:00:18,5.152,0.0661,0.0019,0.0004,21.51,21.5,
0日00:00:19,5.17,0.0904,0.002,0.0004,23.01,23,
0日00:00:20,5.175,0.0656,0.0021,0.0004,24.1,24.09,
0日00:00:21,5.18,0.0531,0.0022,0.0004,24.98,24.98,
0日00:00:22,5.18,0.0531,0.0022,0.0004,25.87,25.86,
0日00:00:23,5.18,0.0533,0.0023,0.0004,26.76,26.75,
0日00:00:24,5.18,0.0533,0.0024,0.0005,27.64,27.63,
0日00:00:25,5.18,0.0533,0.0025,0.0005,28.53,28.52,
0日00:00:26,5.151,0.1281,0.0026,0.0005,30.65,30.65,
0日00:00:27,5.169,0.0905,0.0028,0.0005,32.16,32.16,
0日00:00:28,5.173,0.0684,0.0029,0.0006,33.3,33.3,
0日00:00:29,5.179,0.0533,0.003,0.0006,34.18,34.18,
0日00:00:30,5.18,0.0532,0.003,0.0006,35.07,35.07,
0日00:00:31,5.18,0.0532,0.0031,0.0006,35.96,35.95,
0日00:00:32,5.18,0.0533,0.0032,0.0006,36.84,36.84,
0日00:00:33,5.18,0.0533,0.0033,0.0006,37.73,37.73,
0日00:00:34,5.179,0.056,0.0033,0.0006,38.67,38.66,
0日00:00:35,5.146,0.0661,0.0034,0.0007,39.76,39.76,
0日00:00:36,5.17,0.0904,0.0036,0.0007,41.26,41.26,
0日00:00:37,5.175,0.0653,0.0037,0.0007,42.35,42.35,
0日00:00:38,5.179,0.0532,0.0037,0.0007,43.23,43.23,
0日00:00:39,5.18,0.0532,0.0038,0.0007,44.12,44.12,
0日00:00:40,5.18,0.0532,0.0039,0.0008,45.01,45,
0日00:00:41,5.18,0.0533,0.004,0.0008,45.9,45.89,
0日00:00:42,5.18,0.0533,0.004,0.0008,46.78,46.78,
0日00:00:43,5.158,0.1287,0.0042,0.0008,48.92,48.92,
0日00:00:44,5.163,0.0827,0.0043,0.0008,50.29,50.29,
0日00:00:45,5.173,0.0852,0.0045,0.0009,51.71,51.71,
0日00:00:46,5.176,0.056,0.0045,0.0009,52.64,52.64,
0日00:00:47,5.18,0.0532,0.0046,0.0009,53.53,53.53,
0日00:00:48,5.18,0.0532,0.0047,0.0009,54.41,54.41,
0日00:00:49,5.179,0.0533,0.0048,0.0009,55.3,55.3,
0日00:00:50,5.179,0.0533,0.0049,0.0009,56.19,56.19,
0日00:00:51,5.179,0.0534,0.0049,0.001,57.08,57.07,
0日00:00:52,5.163,0.0754,0.005,0.001,58.33,58.33,
0日00:00:53,5.169,0.0904,0.0052,0.001,59.83,59.83,
0日00:00:54,5.174,0.0659,0.0053,0.001,60.93,60.93,
0日00:00:55,5.179,0.0532,0.0053,0.001,61.81,61.81,
0日00:00:56,5.179,0.0532,0.0054,0.001,62.7,62.7,
0日00:00:57,5.179,0.0532,0.0055,0.0011,63.59,63.58,
