Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),イベント,,Arduinoを差し引いた電力
0日00:00:00,5.149,0.0001,0,0,0,0,,,
0日00:00:01,5.135,0.0591,0.0001,0,0.96,0.97,,,
0日00:00:02,5.134,0.0599,0.0002,0,1.94,1.95,起動,0.0985,0.045
0日00:00:03,5.13,0.1655,0.0004,0.0001,4.62,4.66,,,
0日00:00:04,5.169,0.0701,0.0005,0.0001,5.77,5.8,,,
0日00:00:05,5.173,0.0689,0.0006,0.0001,6.9,6.93,,,
0日00:00:06,5.173,0.0689,0.0007,0.0001,8.03,8.06,,,
0日00:00:07,5.173,0.0682,0.0008,0.0002,9.15,9.17,ネットワーク参加,0.073933333,0.02
0日00:00:08,5.168,0.0866,0.0009,0.0002,10.56,10.59,,,
0日00:00:09,5.171,0.067,0.001,0.0002,11.66,11.69,,,
0日00:00:10,5.169,0.0684,0.0011,0.0002,12.78,12.8,送信,0.06734,0.013
0日00:00:11,5.169,0.0871,0.0012,0.0002,14.2,14.23,,,
0日00:00:12,5.169,0.0712,0.0013,0.0003,15.37,15.39,,,
0日00:00:13,5.176,0.0553,0.0014,0.0003,16.28,16.3,,,
0日00:00:14,5.176,0.0547,0.0015,0.0003,17.17,17.19,,,
0日00:00:15,5.176,0.0548,0.0016,0.0003,18.07,18.09,,,
0日00:00:16,5.176,0.0545,0.0017,0.0003,18.96,18.98,,,
0日00:00:17,5.176,0.0541,0.0017,0.0003,19.85,19.87,,,
0日00:00:18,5.16,0.1578,0.002,0.0004,22.43,22.45,0.08638,,
0日00:00:19,5.164,0.0904,0.0021,0.0004,23.91,23.93,,,
0日00:00:20,5.17,0.0757,0.0022,0.0004,25.15,25.17,,,
0日00:00:21,5.176,0.0539,0.0023,0.0004,26.03,26.05,,,
0日00:00:22,5.176,0.0536,0.0024,0.0005,26.91,26.92,,,
0日00:00:23,5.176,0.0536,0.0024,0.0005,27.79,27.8,,,
0日00:00:24,5.176,0.0537,0.0025,0.0005,28.67,28.68,,,
0日00:00:25,5.176,0.0537,0.0026,0.0005,29.55,29.56,,,
0日00:00:26,5.176,0.0559,0.0027,0.0005,30.46,30.47,,,
0日00:00:27,5.159,0.0664,0.0028,0.0005,31.55,31.56,,,
0日00:00:28,5.165,0.0903,0.0029,0.0006,33.02,33.04,,,
0日00:00:29,5.17,0.0661,0.003,0.0006,34.1,34.12,,,
0日00:00:30,5.176,0.0538,0.0031,0.0006,34.99,35,,,
0日00:00:31,5.176,0.0537,0.0031,0.0006,35.87,35.88,,,
0日00:00:32,5.176,0.0538,0.0032,0.0006,36.75,36.76,,,
0日00:00:33,5.176,0.054,0.0033,0.0006,37.63,37.64,,,
0日00:00:34,5.176,0.054,0.0034,0.0007,38.52,38.52,,,
0日00:00:35,5.139,0.1678,0.0036,0.0007,41.25,41.27,,,
0日00:00:36,5.149,0.0735,0.0037,0.0007,42.45,42.47,,,
0日00:00:37,5.17,0.0759,0.0038,0.0007,43.69,43.71,,,
0日00:00:38,5.171,0.0614,0.0039,0.0008,44.69,44.72,,,
0日00:00:39,5.176,0.0539,0.004,0.0008,45.58,45.6,,,
0日00:00:40,5.175,0.0539,0.0041,0.0008,46.46,46.48,,,
0日00:00:41,5.176,0.054,0.0042,0.0008,47.35,47.36,,,
0日00:00:42,5.176,0.0541,0.0042,0.0008,48.23,48.25,,,
0日00:00:43,5.176,0.0541,0.0043,0.0008,49.12,49.13,,,
0日00:00:44,5.157,0.0664,0.0044,0.0009,50.2,50.22,,,
0日00:00:45,5.165,0.0903,0.0045,0.0009,51.68,51.7,,,
0日00:00:46,5.17,0.067,0.0046,0.0009,52.78,52.79,,,
0日00:00:47,5.175,0.0542,0.0047,0.0009,53.66,53.68,,,
0日00:00:48,5.176,0.0541,0.0048,0.0009,54.55,54.56,,,
0日00:00:49,5.175,0.0541,0.0049,0.0009,55.44,55.45,,,
0日00:00:50,5.175,0.0541,0.0049,0.001,56.32,56.33,,,
0日00:00:51,5.175,0.0541,0.005,0.001,57.21,57.22,,,
0日00:00:52,5.166,0.0928,0.0052,0.001,58.73,58.74,,,
0日00:00:53,5.148,0.0709,0.0053,0.001,59.88,59.9,,,
0日00:00:54,5.17,0.073,0.0054,0.001,61.08,61.09,,,
0日00:00:55,5.17,0.0665,0.0055,0.0011,62.17,62.18,,,
0日00:00:56,5.175,0.0541,0.0055,0.0011,63.05,63.06,,,
0日00:00:57,5.175,0.0541,0.0056,0.0011,63.94,63.95,,,
0日00:00:58,5.175,0.0541,0.0057,0.0011,64.83,64.83,,,
0日00:00:59,5.175,0.0542,0.0058,0.0011,65.71,65.72,,,
0日00:01:00,5.175,0.0558,0.0058,0.0011,66.63,66.63,,,
0日00:01:01,5.153,0.1338,0.006,0.0012,68.81,68.82,,,
0日00:01:02,5.161,0.0903,0.0062,0.0012,70.29,70.3,,,
0日00:01:03,5.168,0.0707,0.0063,0.0012,71.44,71.46,,,
0日00:01:04,5.174,0.0546,0.0063,0.0012,72.34,72.35,,,
0日00:01:05,5.175,0.0542,0.0064,0.0012,73.23,73.24,,,
0日00:01:06,5.175,0.0542,0.0065,0.0013,74.11,74.12,,,
0日00:01:07,5.175,0.0543,0.0066,0.0013,75,75.01,,,
0日00:01:08,5.175,0.0543,0.0067,0.0013,75.89,75.9,,,
0日00:01:09,5.174,0.0568,0.0067,0.0013,76.82,76.83,,,
0日00:01:10,5.14,0.0667,0.0068,0.0013,77.91,77.92,,,
0日00:01:11,5.165,0.0901,0.007,0.0013,79.38,79.39,,,
0日00:01:12,5.169,0.0664,0.0071,0.0014,80.47,80.48,,,
0日00:01:13,5.175,0.0542,0.0071,0.0014,81.36,81.37,,,
0日00:01:14,5.175,0.0542,0.0072,0.0014,82.25,82.25,,,
0日00:01:15,5.175,0.0542,0.0073,0.0014,83.13,83.14,,,
0日00:01:16,5.174,0.0543,0.0074,0.0014,84.02,84.03,,,
0日00:01:17,5.174,0.0543,0.0074,0.0014,84.91,84.92,,,
0日00:01:18,5.16,0.1463,0.0077,0.0015,87.3,87.31,,,
0日00:01:19,5.163,0.0899,0.0078,0.0015,88.77,88.78,,,
0日00:01:20,5.169,0.0735,0.0079,0.0015,89.98,89.98,,,
0日00:01:21,5.171,0.0596,0.008,0.0015,90.95,90.96,,,
0日00:01:22,5.174,0.0544,0.0081,0.0016,91.84,91.85,,,
0日00:01:23,5.175,0.0544,0.0081,0.0016,92.73,92.74,,,
0日00:01:24,5.174,0.0546,0.0082,0.0016,93.63,93.63,,,
0日00:01:25,5.174,0.0546,0.0083,0.0016,94.52,94.52,,,
0日00:01:26,5.174,0.0569,0.0084,0.0016,95.45,95.46,,,
0日00:01:27,5.164,0.0667,0.0085,0.0016,96.55,96.55,,,
0日00:01:28,5.165,0.09,0.0086,0.0017,98.02,98.02,,,
0日00:01:29,5.17,0.0666,0.0087,0.0017,99.11,99.11,,,
0日00:01:30,5.174,0.0545,0.0088,0.0017,100,100,,,
0日00:01:31,5.174,0.0545,0.0089,0.0017,100.89,100.89,,,
