This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1400,0.0629,0.0001,0.0000,4.23,4.25
0日00:00:01,5.1330,0.0593,0.0002,0.0000,8.21,8.25
0日00:00:02,5.1310,0.1754,0.0004,0.0001,19.98,20.09
0日00:00:03,5.1690,0.0694,0.0005,0.0001,24.67,24.78
0日00:00:04,5.1730,0.0684,0.0006,0.0001,29.30,29.40
0日00:00:05,5.1730,0.0678,0.0007,0.0001,33.89,33.97
0日00:00:06,5.1730,0.0674,0.0008,0.0002,38.45,38.53
0日00:00:07,5.1700,0.0864,0.0009,0.0002,44.29,44.36
0日00:00:08,5.1690,0.0925,0.0011,0.0002,50.54,50.60
0日00:00:09,5.1670,0.0708,0.0012,0.0002,55.32,55.38
0日00:00:10,5.1680,0.0858,0.0013,0.0003,61.12,61.18
0日00:00:11,5.1710,0.0676,0.0014,0.0003,65.70,65.74
0日00:00:12,5.1760,0.0532,0.0015,0.0003,69.30,69.33
0日00:00:13,5.1760,0.0532,0.0015,0.0003,72.90,72.93
0日00:00:14,5.1760,0.0532,0.0016,0.0003,76.50,76.52
0日00:00:15,5.1760,0.0531,0.0017,0.0003,80.09,80.10
0日00:00:16,5.1760,0.0531,0.0018,0.0003,83.69,83.69
0日00:00:17,5.1700,0.0977,0.0019,0.0004,90.29,90.28
0日00:00:18,5.1440,0.0708,0.0020,0.0004,95.06,95.06
0日00:00:19,5.1700,0.0731,0.0021,0.0004,100.00,100.00
0日00:00:20,5.1710,0.0617,0.0022,0.0004,104.17,104.17
