This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.0640,0.3192,0.0004,0.0001,3.61,3.56
0日00:00:01,4.7870,1.9155,0.0030,0.0006,24.09,24.96
0日00:00:02,4.9670,1.4444,0.0050,0.0010,40.12,41.09
0日00:00:03,4.9540,0.2926,0.0054,0.0011,43.36,44.36
0日00:00:04,5.0930,0.0584,0.0055,0.0011,44.02,45.01
0日00:00:05,5.0920,0.0704,0.0056,0.0011,44.82,45.80
0日00:00:06,5.0830,0.0680,0.0057,0.0012,45.59,46.56
0日00:00:07,5.0900,0.0671,0.0058,0.0012,46.36,47.31
0日00:00:08,5.0920,0.0663,0.0059,0.0012,47.11,48.05
0日00:00:09,5.0920,0.0663,0.0060,0.0012,47.86,48.79
0日00:00:10,5.0920,0.0662,0.0060,0.0012,48.62,49.53
0日00:00:11,5.0900,0.0672,0.0061,0.0013,49.38,50.28
0日00:00:12,5.0880,0.0663,0.0062,0.0013,50.13,51.02
0日00:00:13,5.0890,0.0834,0.0064,0.0013,51.08,51.95
0日00:00:14,5.0890,0.0751,0.0065,0.0013,51.94,52.79
0日00:00:15,5.0950,0.0578,0.0065,0.0013,52.59,53.43
0日00:00:16,5.0890,0.1646,0.0068,0.0014,54.46,55.27
0日00:00:17,5.0870,0.0863,0.0069,0.0014,55.45,56.23
0日00:00:18,5.0870,0.0854,0.0070,0.0014,56.42,57.19
0日00:00:19,5.0910,0.0608,0.0071,0.0014,57.11,57.87
0日00:00:20,5.0960,0.0596,0.0072,0.0015,57.79,58.53
0日00:00:21,5.0890,0.0641,0.0073,0.0015,58.51,59.25
0日00:00:22,5.0880,0.0798,0.0074,0.0015,59.42,60.14
0日00:00:23,5.0900,0.0636,0.0075,0.0015,60.14,60.85
0日00:00:24,5.0950,0.0887,0.0076,0.0015,61.15,61.84
0日00:00:25,5.0890,0.0683,0.0077,0.0016,61.93,62.60
0日00:00:26,5.0880,0.0711,0.0078,0.0016,62.74,63.40
0日00:00:27,5.0890,0.0638,0.0079,0.0016,63.46,64.11
0日00:00:28,5.0960,0.0542,0.0080,0.0016,64.08,64.72
0日00:00:29,5.0900,0.0645,0.0081,0.0016,64.81,65.44
0日00:00:30,5.0890,0.0883,0.0082,0.0017,65.82,66.42
0日00:00:31,5.0890,0.0640,0.0083,0.0017,66.54,67.14
0日00:00:32,5.0960,0.0532,0.0084,0.0017,67.15,67.73
0日00:00:33,5.0890,0.0645,0.0084,0.0017,67.88,68.45
0日00:00:34,5.0890,0.0883,0.0086,0.0017,68.89,69.44
0日00:00:35,5.0880,0.0727,0.0087,0.0017,69.71,70.25
0日00:00:36,5.0950,0.0553,0.0087,0.0018,70.34,70.87
0日00:00:37,5.0880,0.1695,0.0090,0.0018,72.27,72.76
0日00:00:38,5.0880,0.0882,0.0091,0.0018,73.27,73.75
0日00:00:39,5.0870,0.0814,0.0092,0.0019,74.20,74.65
0日00:00:40,5.0910,0.0604,0.0093,0.0019,74.88,75.33
0日00:00:41,5.0900,0.0648,0.0094,0.0019,75.62,76.05
0日00:00:42,5.0890,0.0882,0.0095,0.0019,76.62,77.04
0日00:00:43,5.0890,0.0642,0.0096,0.0019,77.35,77.75
0日00:00:44,5.0950,0.0520,0.0097,0.0019,77.94,78.34
0日00:00:45,5.0890,0.1064,0.0098,0.0020,79.15,79.52
0日00:00:46,5.0890,0.0883,0.0100,0.0020,80.16,80.51
0日00:00:47,5.0880,0.0857,0.0101,0.0020,81.13,81.47
0日00:00:48,5.0910,0.0613,0.0102,0.0020,81.83,82.15
0日00:00:49,5.0930,0.1222,0.0103,0.0021,83.22,83.52
0日00:00:50,5.0900,0.0761,0.0105,0.0021,84.08,84.37
0日00:00:51,5.0890,0.0782,0.0106,0.0021,84.97,85.24
0日00:00:52,5.0940,0.0628,0.0107,0.0021,85.69,85.94
0日00:00:53,5.0970,0.0835,0.0108,0.0022,86.64,86.87
0日00:00:54,5.0900,0.0645,0.0109,0.0022,87.37,87.59
0日00:00:55,5.0890,0.0883,0.0110,0.0022,88.38,88.58
0日00:00:56,5.0900,0.0640,0.0111,0.0022,89.10,89.30
0日00:00:57,5.0970,0.0617,0.0112,0.0022,89.81,89.98
0日00:00:58,5.0830,0.0670,0.0113,0.0023,90.57,90.73
0日00:00:59,5.0900,0.0749,0.0114,0.0023,91.42,91.57
0日00:01:00,5.0910,0.0673,0.0115,0.0023,92.18,92.32
0日00:01:01,5.0940,0.0658,0.0116,0.0023,92.93,93.06
0日00:01:02,5.0810,0.1582,0.0118,0.0024,94.73,94.82
0日00:01:03,5.0890,0.0665,0.0119,0.0024,95.48,95.57
0日00:01:04,5.0930,0.3314,0.0123,0.0025,99.25,99.27
0日00:01:05,5.0910,0.0657,0.0124,0.0025,100.00,100.00
0日00:01:06,4.8310,0.8034,0.0135,0.0027,108.67,108.97
