Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.298,0.0001,0,0,0,0
0日00:00:01,5.298,0.0001,0,0,0.01,0.01
0日00:00:02,5.298,0.0001,0,0,0.01,0.01
0日00:00:03,5.293,0.0642,0.0001,0,2.85,2.84
0日00:00:04,5.28,0.0616,0.0002,0,5.57,5.56
0日00:00:05,5.276,0.1348,0.0004,0.0001,11.52,11.5
0日00:00:06,5.27,0.0739,0.0005,0.0001,14.77,14.76
0日00:00:07,5.277,0.0726,0.0006,0.0001,17.98,17.96
0日00:00:08,5.278,0.0722,0.0007,0.0001,21.16,21.15
0日00:00:09,5.278,0.0716,0.0008,0.0002,24.32,24.3
0日00:00:10,5.275,0.0863,0.0009,0.0002,28.13,28.11
0日00:00:11,5.273,0.0714,0.001,0.0002,31.27,31.26
0日00:00:12,5.272,0.0718,0.0011,0.0002,34.44,34.42
0日00:00:13,5.273,0.0896,0.0013,0.0002,38.39,38.37
0日00:00:14,5.275,0.0713,0.0014,0.0003,41.53,41.51
0日00:00:15,5.282,0.0571,0.0015,0.0003,44.05,44.03
0日00:00:16,5.282,0.057,0.0015,0.0003,46.57,46.55
0日00:00:17,5.282,0.057,0.0016,0.0003,49.09,49.06
0日00:00:18,5.282,0.0566,0.0017,0.0003,51.59,51.55
0日00:00:19,5.282,0.0567,0.0018,0.0003,54.09,54.05
0日00:00:20,5.265,0.1759,0.0021,0.0004,61.83,61.81
0日00:00:21,5.27,0.0924,0.0022,0.0004,65.9,65.88
0日00:00:22,5.276,0.0756,0.0023,0.0004,69.24,69.22
0日00:00:23,5.277,0.0654,0.0024,0.0005,72.12,72.1
0日00:00:24,5.281,0.0566,0.0025,0.0005,74.62,74.6
0日00:00:25,5.281,0.0563,0.0026,0.0005,77.11,77.08
0日00:00:26,5.281,0.0566,0.0026,0.0005,79.61,79.57
0日00:00:27,5.281,0.0566,0.0027,0.0005,82.1,82.07
0日00:00:28,5.281,0.058,0.0028,0.0005,84.66,84.63
0日00:00:29,5.252,0.1727,0.0031,0.0006,92.25,92.24
0日00:00:30,5.264,0.0921,0.0032,0.0006,96.3,96.3
0日00:00:31,5.276,0.0839,0.0033,0.0006,100,100
0日00:00:32,5.278,0.0569,0.0034,0.0006,102.51,102.51
