This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1290,0.0561,0.0001,0.0000,0.79,0.79
0日00:00:01,5.1250,0.1256,0.0003,0.0001,2.55,2.57
0日00:00:02,5.1640,0.0700,0.0004,0.0001,3.54,3.56
0日00:00:03,5.1680,0.0701,0.0005,0.0001,4.53,4.55
0日00:00:04,5.1680,0.0690,0.0006,0.0001,5.51,5.53
0日00:00:05,5.1690,0.0685,0.0007,0.0001,6.48,6.50
0日00:00:06,5.1700,0.0678,0.0008,0.0001,7.44,7.46
0日00:00:07,5.1670,0.0757,0.0009,0.0002,8.51,8.53
0日00:00:08,5.1660,0.0735,0.0010,0.0002,9.55,9.57
0日00:00:09,5.1640,0.0684,0.0011,0.0002,10.52,10.54
0日00:00:10,5.1690,0.0674,0.0012,0.0002,11.47,11.49
0日00:00:11,5.1700,0.0675,0.0013,0.0002,12.43,12.44
0日00:00:12,5.1700,0.0675,0.0014,0.0003,13.39,13.40
0日00:00:13,5.1700,0.0675,0.0015,0.0003,14.34,14.35
0日00:00:14,5.1670,0.0733,0.0016,0.0003,15.38,15.39
0日00:00:15,5.1660,0.0745,0.0017,0.0003,16.43,16.45
0日00:00:16,5.1640,0.0682,0.0018,0.0003,17.40,17.41
0日00:00:17,5.1690,0.0675,0.0019,0.0004,18.35,18.36
0日00:00:18,5.1690,0.0675,0.0020,0.0004,19.31,19.32
0日00:00:19,5.1690,0.0674,0.0021,0.0004,20.26,20.27
0日00:00:20,5.1680,0.0674,0.0022,0.0004,21.22,21.23
0日00:00:21,5.1660,0.0823,0.0023,0.0004,22.38,22.39
0日00:00:22,5.1650,0.1270,0.0025,0.0005,24.18,24.19
0日00:00:23,5.1640,0.0795,0.0026,0.0005,25.30,25.31
0日00:00:24,5.1640,0.0815,0.0027,0.0005,26.46,26.47
0日00:00:25,5.1710,0.0573,0.0028,0.0005,27.27,27.28
0日00:00:26,5.1720,0.0537,0.0028,0.0006,28.03,28.04
0日00:00:27,5.1720,0.0537,0.0029,0.0006,28.79,28.80
0日00:00:28,5.1720,0.0537,0.0030,0.0006,29.55,29.56
0日00:00:29,5.1720,0.0538,0.0031,0.0006,30.31,30.32
0日00:00:30,5.1720,0.0561,0.0032,0.0006,31.11,31.11
0日00:00:31,5.1600,0.0665,0.0032,0.0006,32.05,32.05
0日00:00:32,5.1620,0.0904,0.0034,0.0007,33.33,33.33
0日00:00:33,5.1660,0.0662,0.0035,0.0007,34.26,34.27
0日00:00:34,5.1720,0.0537,0.0036,0.0007,35.02,35.03
0日00:00:35,5.1720,0.0537,0.0036,0.0007,35.78,35.79
0日00:00:36,5.1720,0.0537,0.0037,0.0007,36.55,36.55
0日00:00:37,5.1720,0.0538,0.0038,0.0007,37.31,37.31
0日00:00:38,5.1720,0.0539,0.0039,0.0007,38.07,38.07
0日00:00:39,5.1710,0.0663,0.0040,0.0008,39.01,39.01
0日00:00:40,5.1550,0.0660,0.0041,0.0008,39.94,39.94
0日00:00:41,5.1650,0.0782,0.0042,0.0008,41.05,41.05
0日00:00:42,5.1660,0.0662,0.0043,0.0008,41.99,41.98
0日00:00:43,5.1720,0.0538,0.0043,0.0008,42.75,42.75
0日00:00:44,5.1720,0.0539,0.0044,0.0009,43.51,43.51
0日00:00:45,5.1720,0.0540,0.0045,0.0009,44.28,44.27
0日00:00:46,5.1720,0.0540,0.0046,0.0009,45.04,45.04
0日00:00:47,5.1720,0.0541,0.0046,0.0009,45.81,45.80
0日00:00:48,5.1600,0.1410,0.0048,0.0009,47.80,47.80
0日00:00:49,5.1560,0.0826,0.0050,0.0010,48.97,48.96
0日00:00:50,5.1650,0.0852,0.0051,0.0010,50.17,50.17
0日00:00:51,5.1680,0.0567,0.0052,0.0010,50.98,50.97
0日00:00:52,5.1720,0.0539,0.0052,0.0010,51.74,51.73
0日00:00:53,5.1720,0.0540,0.0053,0.0010,52.50,52.50
0日00:00:54,5.1720,0.0540,0.0054,0.0010,53.27,53.26
0日00:00:55,5.1720,0.0542,0.0055,0.0011,54.04,54.03
0日00:00:56,5.1710,0.0541,0.0056,0.0011,54.80,54.79
0日00:00:57,5.1440,0.1233,0.0057,0.0011,56.54,56.54
0日00:00:58,5.1600,0.0904,0.0059,0.0011,57.82,57.82
0日00:00:59,5.1650,0.0685,0.0060,0.0012,58.79,58.79
0日00:01:00,5.1710,0.0541,0.0060,0.0012,59.55,59.55
0日00:01:01,5.1710,0.0541,0.0061,0.0012,60.32,60.32
0日00:01:02,5.1710,0.0541,0.0062,0.0012,61.09,61.08
0日00:01:03,5.1710,0.0542,0.0063,0.0012,61.85,61.85
0日00:01:04,5.1710,0.0542,0.0064,0.0012,62.62,62.62
0日00:01:05,5.1680,0.0672,0.0064,0.0012,63.57,63.57
0日00:01:06,5.1510,0.0663,0.0065,0.0013,64.51,64.51
0日00:01:07,5.1650,0.0781,0.0067,0.0013,65.61,65.61
0日00:01:08,5.1650,0.0664,0.0067,0.0013,66.55,66.55
0日00:01:09,5.1710,0.0541,0.0068,0.0013,67.32,67.32
0日00:01:10,5.1710,0.0541,0.0069,0.0013,68.09,68.08
