This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1310,0.0001,0.0000,0.0000,0.00,0.00
0日00:00:01,5.1310,0.0001,0.0000,0.0000,0.00,0.00
0日00:00:02,5.1310,0.0001,0.0000,0.0000,0.00,0.00
0日00:00:03,5.1160,0.0552,0.0001,0.0000,0.89,0.89
0日00:00:04,5.1160,0.0684,0.0002,0.0000,1.98,1.99
0日00:00:05,5.1250,0.0712,0.0003,0.0001,3.12,3.14
0日00:00:06,5.1540,0.0707,0.0004,0.0001,4.26,4.28
0日00:00:07,5.1540,0.0706,0.0005,0.0001,5.40,5.42
0日00:00:08,5.1540,0.0699,0.0006,0.0001,6.52,6.54
0日00:00:09,5.1540,0.0695,0.0007,0.0001,7.64,7.66
0日00:00:10,5.1490,0.0874,0.0008,0.0002,9.05,9.07
0日00:00:11,5.1500,0.0873,0.0009,0.0002,10.46,10.47
0日00:00:12,5.1480,0.0697,0.0010,0.0002,11.58,11.60
0日00:00:13,5.1510,0.0688,0.0011,0.0002,12.69,12.70
0日00:00:14,5.1540,0.0686,0.0012,0.0002,13.79,13.81
0日00:00:15,5.1540,0.0690,0.0013,0.0003,14.90,14.92
0日00:00:16,5.1540,0.0687,0.0014,0.0003,16.01,16.03
0日00:00:17,5.1530,0.0870,0.0015,0.0003,17.41,17.43
0日00:00:18,5.1510,0.0871,0.0017,0.0003,18.81,18.83
0日00:00:19,5.1300,0.0911,0.0018,0.0004,20.27,20.30
0日00:00:20,5.1430,0.0690,0.0019,0.0004,21.38,21.41
0日00:00:21,5.1540,0.0691,0.0020,0.0004,22.50,22.52
0日00:00:22,5.1540,0.0688,0.0021,0.0004,23.60,23.63
0日00:00:23,5.1540,0.0688,0.0022,0.0004,24.71,24.73
0日00:00:24,5.1500,0.0870,0.0023,0.0005,26.11,26.14
0日00:00:25,5.1500,0.0870,0.0024,0.0005,27.51,27.54
0日00:00:26,5.1470,0.1613,0.0027,0.0005,30.11,30.13
0日00:00:27,5.1510,0.0688,0.0028,0.0005,31.22,31.24
0日00:00:28,5.1540,0.0688,0.0029,0.0006,32.33,32.35
0日00:00:29,5.1540,0.0687,0.0030,0.0006,33.43,33.46
0日00:00:30,5.1540,0.0684,0.0031,0.0006,34.53,34.56
0日00:00:31,5.1530,0.0866,0.0032,0.0006,35.93,35.95
0日00:00:32,5.1490,0.0866,0.0033,0.0006,37.32,37.35
0日00:00:33,5.1480,0.1227,0.0035,0.0007,39.30,39.32
0日00:00:34,5.1480,0.0687,0.0036,0.0007,40.40,40.43
0日00:00:35,5.1540,0.0681,0.0037,0.0007,41.50,41.52
