This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1300,0.0001,0.0000,0.0000,0.01,0.01
0日00:00:01,5.1260,0.0612,0.0001,0.0000,3.21,3.23
0日00:00:02,5.1150,0.0551,0.0002,0.0000,6.09,6.13
0日00:00:03,5.1130,0.1681,0.0004,0.0001,14.88,14.97
0日00:00:04,5.1350,0.0723,0.0005,0.0001,18.68,18.77
0日00:00:05,5.1530,0.0712,0.0006,0.0001,22.43,22.52
0日00:00:06,5.1530,0.0698,0.0007,0.0001,26.10,26.19
0日00:00:07,5.1530,0.0675,0.0008,0.0002,29.66,29.75
0日00:00:08,5.1520,0.0852,0.0009,0.0002,34.15,34.23
0日00:00:09,5.1510,0.0679,0.0010,0.0002,37.72,37.80
0日00:00:10,5.1510,0.0690,0.0011,0.0002,41.36,41.43
0日00:00:11,5.1500,0.0742,0.0012,0.0002,45.26,45.34
0日00:00:12,5.1520,0.0521,0.0013,0.0003,48.01,48.08
0日00:00:13,5.1570,0.0522,0.0014,0.0003,50.76,50.83
0日00:00:14,5.1580,0.0521,0.0015,0.0003,53.51,53.57
0日00:00:15,5.1580,0.0517,0.0015,0.0003,56.23,56.29
0日00:00:16,5.1580,0.0519,0.0016,0.0003,58.97,59.02
0日00:00:17,5.1530,0.0660,0.0017,0.0003,62.45,62.49
0日00:00:18,5.1490,0.0851,0.0018,0.0004,66.92,66.97
0日00:00:19,5.1480,0.0859,0.0019,0.0004,71.45,71.49
0日00:00:20,5.1540,0.0516,0.0020,0.0004,74.16,74.21
0日00:00:21,5.1580,0.0512,0.0021,0.0004,76.86,76.90
0日00:00:22,5.1580,0.0512,0.0022,0.0004,79.56,79.59
0日00:00:23,5.1580,0.0512,0.0022,0.0004,82.26,82.29
0日00:00:24,5.1570,0.0517,0.0023,0.0004,84.99,85.01
0日00:00:25,5.1490,0.0647,0.0024,0.0005,88.40,88.41
0日00:00:26,5.1530,0.0647,0.0025,0.0005,91.80,91.82
0日00:00:27,5.1540,0.0519,0.0026,0.0005,94.54,94.55
0日00:00:28,5.1570,0.0516,0.0026,0.0005,97.26,97.26
0日00:00:29,5.1570,0.0520,0.0027,0.0005,100.00,100.00
0日00:00:30,5.1570,0.0517,0.0028,0.0005,102.73,102.72
