Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.151,0.0067,0,0,0.17,0.17
0日00:00:01,5.137,0.0586,0.0001,0,1.65,1.65
0日00:00:02,5.138,0.0692,0.0002,0,3.41,3.41
0日00:00:03,5.132,0.0682,0.0003,0.0001,5.13,5.13
0日00:00:04,5.136,0.0678,0.0004,0.0001,6.85,6.85
0日00:00:05,5.135,0.0696,0.0005,0.0001,8.61,8.61
0日00:00:06,5.135,0.0696,0.0006,0.0001,10.38,10.37
0日00:00:07,5.135,0.0682,0.0007,0.0001,12.1,12.1
0日00:00:08,5.134,0.0853,0.0008,0.0002,14.26,14.26
0日00:00:09,5.136,0.0662,0.0009,0.0002,15.94,15.93
0日00:00:10,5.136,0.0662,0.001,0.0002,17.62,17.61
0日00:00:11,5.136,0.066,0.0011,0.0002,19.29,19.28
0日00:00:12,5.136,0.0658,0.0012,0.0002,20.95,20.95
0日00:00:13,5.133,0.0853,0.0013,0.0003,23.11,23.11
0日00:00:14,5.133,0.0847,0.0014,0.0003,25.26,25.25
0日00:00:15,5.133,0.0672,0.0015,0.0003,26.96,26.95
0日00:00:16,5.139,0.0528,0.0016,0.0003,28.3,28.29
0日00:00:17,5.139,0.0526,0.0017,0.0003,29.63,29.62
0日00:00:18,5.139,0.0526,0.0017,0.0003,30.96,30.95
0日00:00:19,5.139,0.0526,0.0018,0.0004,32.3,32.28
0日00:00:20,5.139,0.0548,0.0019,0.0004,33.68,33.67
0日00:00:21,5.129,0.0651,0.002,0.0004,35.33,35.32
0日00:00:22,5.13,0.0835,0.0021,0.0004,37.44,37.43
0日00:00:23,5.135,0.0651,0.0022,0.0004,39.09,39.08
0日00:00:24,5.139,0.0526,0.0023,0.0004,40.42,40.41
0日00:00:25,5.139,0.0526,0.0024,0.0005,41.76,41.74
0日00:00:26,5.139,0.0527,0.0024,0.0005,43.09,43.08
0日00:00:27,5.139,0.0527,0.0025,0.0005,44.43,44.41
0日00:00:28,5.126,0.0971,0.0026,0.0005,46.88,46.87
0日00:00:29,5.128,0.0895,0.0028,0.0005,49.15,49.14
0日00:00:30,5.133,0.0655,0.0029,0.0006,50.8,50.79
0日00:00:31,5.136,0.0532,0.0029,0.0006,52.15,52.14
0日00:00:32,5.139,0.0526,0.003,0.0006,53.48,53.47
0日00:00:33,5.139,0.0527,0.0031,0.0006,54.82,54.81
0日00:00:34,5.139,0.0527,0.0032,0.0006,56.16,56.14
0日00:00:35,5.139,0.055,0.0032,0.0006,57.55,57.53
0日00:00:36,5.127,0.0651,0.0033,0.0006,59.2,59.18
0日00:00:37,5.129,0.0896,0.0035,0.0007,61.46,61.45
0日00:00:38,5.133,0.0653,0.0036,0.0007,63.11,63.1
0日00:00:39,5.138,0.0526,0.0036,0.0007,64.45,64.44
0日00:00:40,5.139,0.0526,0.0037,0.0007,65.78,65.77
0日00:00:41,5.139,0.0526,0.0038,0.0007,67.11,67.1
0日00:00:42,5.139,0.0526,0.0039,0.0008,68.45,68.43
0日00:00:43,5.114,0.108,0.004,0.0008,71.17,71.16
0日00:00:44,5.124,0.084,0.0041,0.0008,73.29,73.29
0日00:00:45,5.132,0.0866,0.0043,0.0008,75.48,75.48
0日00:00:46,5.135,0.0548,0.0043,0.0008,76.87,76.87
0日00:00:47,5.139,0.0524,0.0044,0.0009,78.2,78.2
0日00:00:48,5.139,0.0526,0.0045,0.0009,79.53,79.53
0日00:00:49,5.138,0.0526,0.0046,0.0009,80.87,80.86
0日00:00:50,5.138,0.0549,0.0046,0.0009,82.26,82.25
0日00:00:51,5.126,0.0693,0.0047,0.0009,84.01,84.01
0日00:00:52,5.129,0.0896,0.0049,0.0009,86.27,86.27
0日00:00:53,5.133,0.0651,0.005,0.001,87.92,87.92
0日00:00:54,5.138,0.0526,0.005,0.001,89.25,89.25
0日00:00:55,5.138,0.0526,0.0051,0.001,90.59,90.58
0日00:00:56,5.138,0.0526,0.0052,0.001,91.92,91.92
0日00:00:57,5.138,0.053,0.0053,0.001,93.26,93.26
0日00:00:58,5.137,0.0611,0.0053,0.001,94.81,94.81
0日00:00:59,5.122,0.0653,0.0054,0.0011,96.46,96.46
0日00:01:00,5.13,0.0836,0.0056,0.0011,98.57,98.57
0日00:01:01,5.133,0.0563,0.0056,0.0011,100,100
0日00:01:02,5.138,0.0524,0.0057,0.0011,101.33,101.33
