This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1820,0.0681,0.0001,0.0000,2.66,2.66
0日00:00:01,5.1820,0.0786,0.0002,0.0000,5.74,5.74
0日00:00:02,5.1790,0.0802,0.0003,0.0001,8.87,8.87
0日00:00:03,5.1770,0.0787,0.0004,0.0001,11.95,11.95
0日00:00:04,5.1820,0.0676,0.0005,0.0001,14.59,14.59
0日00:00:05,5.1790,0.0679,0.0006,0.0001,17.25,17.25
0日00:00:06,5.1830,0.0679,0.0007,0.0001,19.90,19.91
0日00:00:07,5.1830,0.0677,0.0008,0.0002,22.55,22.55
0日00:00:08,5.1830,0.0674,0.0009,0.0002,25.19,25.19
0日00:00:09,5.1820,0.0675,0.0010,0.0002,27.83,27.83
0日00:00:10,5.1810,0.0865,0.0011,0.0002,31.21,31.21
0日00:00:11,5.1770,0.0866,0.0013,0.0002,34.60,34.60
0日00:00:12,5.1820,0.0693,0.0014,0.0003,37.31,37.31
0日00:00:13,5.1800,0.0680,0.0015,0.0003,39.97,39.97
0日00:00:14,5.1820,0.0674,0.0016,0.0003,42.60,42.60
0日00:00:15,5.1820,0.0677,0.0017,0.0003,45.25,45.25
0日00:00:16,5.1820,0.0675,0.0018,0.0003,47.89,47.89
0日00:00:17,5.1820,0.0676,0.0019,0.0004,50.54,50.53
0日00:00:18,5.1790,0.0866,0.0020,0.0004,53.92,53.92
0日00:00:19,5.1790,0.0866,0.0021,0.0004,57.31,57.31
0日00:00:20,5.1810,0.0670,0.0022,0.0004,59.93,59.93
0日00:00:21,5.1780,0.0882,0.0023,0.0005,63.38,63.38
0日00:00:22,5.1800,0.0678,0.0024,0.0005,66.03,66.03
0日00:00:23,5.1820,0.0674,0.0025,0.0005,68.66,68.66
0日00:00:24,5.1820,0.0676,0.0026,0.0005,71.31,71.31
0日00:00:25,5.1820,0.0676,0.0027,0.0005,73.95,73.95
0日00:00:26,5.1790,0.0866,0.0028,0.0005,77.34,77.34
0日00:00:27,5.1780,0.0866,0.0030,0.0006,80.72,80.72
0日00:00:28,5.1800,0.0671,0.0031,0.0006,83.35,83.35
0日00:00:29,5.1790,0.0685,0.0032,0.0006,86.02,86.03
0日00:00:30,5.1820,0.0678,0.0033,0.0006,88.68,88.68
0日00:00:31,5.1820,0.0677,0.0034,0.0006,91.32,91.33
0日00:00:32,5.1820,0.0676,0.0035,0.0007,93.97,93.97
0日00:00:33,5.1820,0.0676,0.0036,0.0007,96.61,96.61
0日00:00:34,5.1810,0.0866,0.0037,0.0007,100.00,100.00
0日00:00:35,5.1750,0.0866,0.0038,0.0007,103.38,103.39
