Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,,
0日00:00:00,5.157,0.0001,0,0,0,0,,,
0日00:00:01,5.156,0.0001,0,0,0,0,,,
0日00:00:02,5.157,0.0001,0,0,0,0,,,
0日00:00:03,5.157,0.0001,0,0,0,0,,,
0日00:00:04,5.157,0.0001,0,0,0,0,,,
0日00:00:05,5.152,0.0624,0.0001,0,0.3,0.31,,,
0日00:00:06,5.14,0.0595,0.0002,0,0.59,0.6,起動,0.0792,25mA
0日00:00:07,5.129,0.1455,0.0004,0.0001,1.29,1.3,,,
0日00:00:08,5.158,0.0692,0.0005,0.0001,1.63,1.64,,,
0日00:00:09,5.18,0.0687,0.0006,0.0001,1.96,1.97,,,
0日00:00:10,5.18,0.0682,0.0007,0.0001,2.3,2.31,,,
0日00:00:11,5.18,0.0679,0.0008,0.0002,2.63,2.64,,,
0日00:00:12,5.179,0.0821,0.0009,0.0002,3.03,3.04,,,
0日00:00:13,5.178,0.0725,0.001,0.0002,3.38,3.39,,,
0日00:00:14,5.177,0.068,0.0011,0.0002,3.71,3.72,送信,0.0697,16mA
0日00:00:15,5.177,0.0735,0.0012,0.0002,4.07,4.08,,,
0日00:00:16,5.177,0.0676,0.0013,0.0003,4.4,4.41,,,
0日00:00:17,5.183,0.0535,0.0014,0.0003,4.66,4.67,,,
0日00:00:18,5.183,0.0535,0.0015,0.0003,4.92,4.93,,,
0日00:00:19,5.183,0.0535,0.0015,0.0003,5.18,5.19,,,
0日00:00:20,5.183,0.0535,0.0016,0.0003,5.44,5.45,,,
0日00:00:21,5.183,0.0535,0.0017,0.0003,5.7,5.71,,,
0日00:00:22,5.18,0.1,0.0018,0.0004,6.19,6.19,,,
0日00:00:23,5.177,0.0904,0.002,0.0004,6.63,6.63,,,
0日00:00:24,5.176,0.0826,0.0021,0.0004,7.03,7.04,,,
0日00:00:25,5.177,0.0657,0.0022,0.0004,7.35,7.36,,,
0日00:00:26,5.183,0.0533,0.0022,0.0004,7.61,7.61,,,
0日00:00:27,5.183,0.0534,0.0023,0.0004,7.87,7.87,,,
0日00:00:28,5.183,0.0534,0.0024,0.0005,8.13,8.13,,,
0日00:00:29,5.183,0.0535,0.0025,0.0005,8.39,8.39,,,
0日00:00:30,5.182,0.0552,0.0026,0.0005,8.66,8.66,,,
0日00:00:31,5.168,0.066,0.0027,0.0005,8.98,8.98,,,
0日00:00:32,5.172,0.0905,0.0028,0.0005,9.42,9.42,,,
0日00:00:33,5.177,0.0664,0.0029,0.0006,9.74,9.75,,,
0日00:00:34,5.182,0.0536,0.003,0.0006,10,10.01,,,
