This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1500,0.0001,0.0000,0.0000,0.01,0.01
0日00:00:01,5.1340,0.0557,0.0001,0.0000,3.01,3.03
0日00:00:02,5.1340,0.0691,0.0002,0.0000,6.74,6.78
0日00:00:03,5.1330,0.1181,0.0003,0.0001,13.11,13.20
0日00:00:04,5.1700,0.0684,0.0004,0.0001,16.83,16.91
0日00:00:05,5.1740,0.0684,0.0005,0.0001,20.54,20.63
0日00:00:06,5.1740,0.0686,0.0006,0.0001,24.27,24.35
0日00:00:07,5.1740,0.0680,0.0007,0.0001,27.97,28.04
0日00:00:08,5.1710,0.0862,0.0009,0.0002,32.66,32.73
0日00:00:09,5.1700,0.0915,0.0010,0.0002,37.63,37.69
0日00:00:10,5.1700,0.0861,0.0011,0.0002,42.31,42.37
0日00:00:11,5.1700,0.0600,0.0012,0.0002,45.57,45.63
0日00:00:12,5.1770,0.0535,0.0013,0.0002,48.48,48.53
0日00:00:13,5.1770,0.0534,0.0014,0.0003,51.38,51.43
0日00:00:14,5.1770,0.0534,0.0014,0.0003,54.29,54.33
0日00:00:15,5.1770,0.0534,0.0015,0.0003,57.19,57.23
0日00:00:16,5.1770,0.0531,0.0016,0.0003,60.08,60.12
0日00:00:17,5.1640,0.0665,0.0017,0.0003,63.69,63.73
0日00:00:18,5.1670,0.0904,0.0018,0.0004,68.60,68.64
0日00:00:19,5.1720,0.0533,0.0019,0.0004,71.49,71.53
0日00:00:20,5.1770,0.0532,0.0020,0.0004,74.39,74.42
0日00:00:21,5.1770,0.0532,0.0020,0.0004,77.28,77.31
0日00:00:22,5.1770,0.0533,0.0021,0.0004,80.18,80.21
0日00:00:23,5.1770,0.0533,0.0022,0.0004,83.08,83.10
0日00:00:24,5.1770,0.0557,0.0023,0.0004,86.11,86.12
0日00:00:25,5.1710,0.0659,0.0024,0.0005,89.69,89.70
0日00:00:26,5.1690,0.0833,0.0025,0.0005,94.22,94.23
0日00:00:27,5.1730,0.0531,0.0026,0.0005,97.11,97.11
0日00:00:28,5.1770,0.0532,0.0026,0.0005,100.00,100.00
0日00:00:29,5.1770,0.0532,0.0027,0.0005,102.89,102.89
