Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.159,0.0239,0,0,1.13,1.12
0日00:00:01,5.144,0.0582,0.0001,0,3.86,3.85
0日00:00:02,5.143,0.0689,0.0002,0,7.1,7.09
0日00:00:03,5.124,0.0715,0.0003,0.0001,10.44,10.44
0日00:00:04,5.14,0.0716,0.0004,0.0001,13.81,13.8
0日00:00:05,5.14,0.0711,0.0005,0.0001,17.14,17.14
0日00:00:06,5.14,0.0702,0.0006,0.0001,20.44,20.44
0日00:00:07,5.141,0.0695,0.0007,0.0001,23.7,23.7
0日00:00:08,5.138,0.087,0.0008,0.0002,27.79,27.78
0日00:00:09,5.136,0.1045,0.001,0.0002,32.69,32.69
0日00:00:10,5.137,0.0867,0.0011,0.0002,36.76,36.76
0日00:00:11,5.137,0.0831,0.0012,0.0002,40.66,40.66
0日00:00:12,5.145,0.0547,0.0013,0.0003,43.23,43.23
0日00:00:13,5.144,0.0593,0.0014,0.0003,46.02,46.01
0日00:00:14,5.127,0.0666,0.0015,0.0003,49.13,49.14
0日00:00:15,5.134,0.0903,0.0016,0.0003,53.37,53.37
0日00:00:16,5.138,0.0666,0.0017,0.0003,56.49,56.5
0日00:00:17,5.144,0.0549,0.0018,0.0003,59.07,59.08
0日00:00:18,5.144,0.0668,0.0019,0.0004,62.21,62.21
0日00:00:19,5.14,0.0731,0.002,0.0004,65.65,65.64
0日00:00:20,5.137,0.0747,0.0021,0.0004,69.15,69.15
0日00:00:21,5.139,0.0664,0.0022,0.0004,72.27,72.27
0日00:00:22,5.144,0.0545,0.0023,0.0004,74.83,74.83
0日00:00:23,5.141,0.0947,0.0024,0.0005,79.28,79.27
0日00:00:24,5.137,0.0878,0.0025,0.0005,83.4,83.39
0日00:00:25,5.136,0.0875,0.0027,0.0005,87.5,87.5
0日00:00:26,5.143,0.0548,0.0027,0.0005,90.08,90.07
0日00:00:27,5.144,0.0554,0.0028,0.0005,92.68,92.67
0日00:00:28,5.134,0.0662,0.0029,0.0006,95.78,95.78
0日00:00:29,5.135,0.0899,0.003,0.0006,100,100
0日00:00:30,5.138,0.0663,0.0031,0.0006,103.11,103.11
