Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.154,0.0483,0.0001,0,1.26,1.25
0日00:00:01,5.14,0.0592,0.0002,0,2.79,2.79
0日00:00:02,5.14,0.0828,0.0003,0.0001,4.94,4.93
0日00:00:03,5.134,0.0681,0.0004,0.0001,6.71,6.7
0日00:00:04,5.138,0.0672,0.0005,0.0001,8.45,8.44
0日00:00:05,5.139,0.0667,0.0006,0.0001,10.18,10.17
0日00:00:06,5.139,0.0667,0.0007,0.0001,11.91,11.9
0日00:00:07,5.139,0.0663,0.0007,0.0001,13.63,13.62
0日00:00:08,5.137,0.0675,0.0008,0.0002,15.38,15.37
0日00:00:09,5.139,0.0657,0.0009,0.0002,17.08,17.07
0日00:00:10,5.139,0.0658,0.001,0.0002,18.79,18.78
0日00:00:11,5.139,0.0657,0.0011,0.0002,20.49,20.48
0日00:00:12,5.139,0.0658,0.0012,0.0002,22.2,22.18
0日00:00:13,5.127,0.0669,0.0013,0.0003,23.93,23.92
0日00:00:14,5.133,0.0847,0.0014,0.0003,26.13,26.11
0日00:00:15,5.137,0.0668,0.0015,0.0003,27.86,27.85
0日00:00:16,5.142,0.0526,0.0016,0.0003,29.22,29.21
0日00:00:17,5.142,0.0525,0.0017,0.0003,30.59,30.57
0日00:00:18,5.142,0.0525,0.0018,0.0003,31.95,31.93
0日00:00:19,5.142,0.0524,0.0018,0.0004,33.31,33.29
0日00:00:20,5.134,0.0799,0.0019,0.0004,35.38,35.36
0日00:00:21,5.118,0.0682,0.002,0.0004,37.14,37.13
0日00:00:22,5.137,0.0723,0.0021,0.0004,39.02,39
0日00:00:23,5.137,0.0648,0.0022,0.0004,40.7,40.68
0日00:00:24,5.142,0.0524,0.0023,0.0005,42.06,42.04
0日00:00:25,5.142,0.0524,0.0024,0.0005,43.42,43.4
0日00:00:26,5.142,0.0525,0.0025,0.0005,44.78,44.76
0日00:00:27,5.142,0.0537,0.0025,0.0005,46.17,46.15
0日00:00:28,5.117,0.0657,0.0026,0.0005,47.87,47.86
0日00:00:29,5.126,0.0898,0.0028,0.0005,50.19,50.18
0日00:00:30,5.137,0.073,0.0029,0.0006,52.09,52.08
0日00:00:31,5.142,0.0525,0.0029,0.0006,53.45,53.44
0日00:00:32,5.142,0.0524,0.003,0.0006,54.81,54.8
0日00:00:33,5.142,0.0524,0.0031,0.0006,56.17,56.15
0日00:00:34,5.142,0.0524,0.0032,0.0006,57.53,57.51
0日00:00:35,5.141,0.0645,0.0033,0.0006,59.2,59.18
0日00:00:36,5.119,0.0653,0.0034,0.0007,60.89,60.88
0日00:00:37,5.132,0.0897,0.0035,0.0007,63.21,63.2
0日00:00:38,5.137,0.0648,0.0036,0.0007,64.89,64.88
0日00:00:39,5.142,0.0524,0.0036,0.0007,66.25,66.24
0日00:00:40,5.142,0.0523,0.0037,0.0007,67.61,67.6
0日00:00:41,5.142,0.0524,0.0038,0.0007,68.97,68.95
0日00:00:42,5.142,0.0524,0.0039,0.0008,70.33,70.31
0日00:00:43,5.116,0.152,0.0041,0.0008,74.25,74.25
0日00:00:44,5.126,0.0895,0.0042,0.0008,76.57,76.57
0日00:00:45,5.135,0.0757,0.0043,0.0008,78.53,78.54
0日00:00:46,5.142,0.0525,0.0044,0.0009,79.9,79.9
0日00:00:47,5.142,0.0522,0.0045,0.0009,81.25,81.25
0日00:00:48,5.142,0.0524,0.0045,0.0009,82.61,82.61
0日00:00:49,5.142,0.0524,0.0046,0.0009,83.97,83.97
0日00:00:50,5.142,0.0543,0.0047,0.0009,85.38,85.37
0日00:00:51,5.131,0.0654,0.0048,0.0009,87.07,87.07
0日00:00:52,5.132,0.0897,0.0049,0.001,89.4,89.39
0日00:00:53,5.133,0.0646,0.005,0.001,91.07,91.07
0日00:00:54,5.141,0.0524,0.0051,0.001,92.43,92.43
0日00:00:55,5.141,0.0524,0.0052,0.001,93.79,93.79
0日00:00:56,5.141,0.0524,0.0052,0.001,95.15,95.14
0日00:00:57,5.141,0.0524,0.0053,0.001,96.51,96.5
0日00:00:58,5.136,0.07,0.0054,0.0011,98.32,98.32
0日00:00:59,5.116,0.0648,0.0055,0.0011,100,100
0日00:01:00,5.154,0.0001,0.0055,0.0011,100,100
0日00:01:01,5.154,0.0001,0.0055,0.0011,100,100
