Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),
0日00:00:00,5.123,0.0001,0,0,0,0,
0日00:00:01,5.122,0.0001,0,0,0,0,
0日00:00:02,5.129,0.0592,0.0001,0,0.87,0.87,0.0167
0日00:00:03,5.148,0.0583,0.0002,0,1.72,1.72,
0日00:00:04,5.136,0.114,0.0003,0.0001,3.38,3.39,
0日00:00:05,5.141,0.0688,0.0004,0.0001,4.39,4.39,
0日00:00:06,5.145,0.0682,0.0005,0.0001,5.39,5.39,
0日00:00:07,5.145,0.0678,0.0006,0.0001,6.38,6.38,
0日00:00:08,5.145,0.0675,0.0007,0.0001,7.37,7.37,
0日00:00:09,5.145,0.0857,0.0008,0.0002,8.62,8.62,
0日00:00:10,5.143,0.0665,0.0009,0.0002,9.59,9.59,
0日00:00:11,5.141,0.0672,0.001,0.0002,10.58,10.57,
0日00:00:12,5.141,0.0757,0.0011,0.0002,11.68,11.68,
0日00:00:13,5.142,0.0673,0.0012,0.0002,12.67,12.66,
0日00:00:14,5.149,0.0529,0.0013,0.0003,13.44,13.44,
0日00:00:15,5.149,0.0527,0.0014,0.0003,14.21,14.21,
0日00:00:16,5.149,0.0528,0.0015,0.0003,14.98,14.98,
0日00:00:17,5.149,0.0528,0.0015,0.0003,15.76,15.75,
0日00:00:18,5.149,0.0533,0.0016,0.0003,16.54,16.53,
0日00:00:19,5.109,0.172,0.0019,0.0004,19.04,19.04,
0日00:00:20,5.127,0.0898,0.002,0.0004,20.35,20.36,
0日00:00:21,5.143,0.0793,0.0021,0.0004,21.5,21.52,
0日00:00:22,5.146,0.053,0.0022,0.0004,22.28,22.29,
0日00:00:23,5.148,0.0527,0.0023,0.0004,23.05,23.06,
0日00:00:24,5.148,0.0527,0.0023,0.0005,23.82,23.83,
0日00:00:25,5.148,0.0528,0.0024,0.0005,24.6,24.6,
0日00:00:26,5.148,0.0527,0.0025,0.0005,25.37,25.37,
0日00:00:27,5.148,0.0546,0.0026,0.0005,26.17,26.17,
0日00:00:28,5.127,0.0658,0.0027,0.0005,27.13,27.13,
0日00:00:29,5.137,0.0898,0.0028,0.0005,28.44,28.45,
0日00:00:30,5.142,0.0651,0.0029,0.0006,29.39,29.4,
0日00:00:31,5.148,0.0527,0.0029,0.0006,30.16,30.17,
0日00:00:32,5.148,0.0527,0.003,0.0006,30.93,30.94,
0日00:00:33,5.148,0.0527,0.0031,0.0006,31.7,31.71,
0日00:00:34,5.148,0.0528,0.0032,0.0006,32.48,32.48,
0日00:00:35,5.148,0.0528,0.0032,0.0006,33.25,33.25,
0日00:00:36,5.115,0.1723,0.0035,0.0007,35.75,35.77,
0日00:00:37,5.129,0.0898,0.0036,0.0007,37.06,37.08,
0日00:00:38,5.142,0.0796,0.0037,0.0007,38.23,38.25,
0日00:00:39,5.143,0.0613,0.0038,0.0007,39.12,39.14,
0日00:00:40,5.148,0.0527,0.0039,0.0008,39.9,39.91,
0日00:00:41,5.148,0.0527,0.004,0.0008,40.67,40.68,
0日00:00:42,5.148,0.0528,0.004,0.0008,41.44,41.45,
0日00:00:43,5.148,0.0527,0.0041,0.0008,42.21,42.22,
0日00:00:44,5.148,0.0546,0.0042,0.0008,43.01,43.02,
0日00:00:45,5.135,0.0656,0.0043,0.0008,43.97,43.98,
0日00:00:46,5.137,0.0898,0.0044,0.0009,45.28,45.29,
0日00:00:47,5.141,0.0682,0.0045,0.0009,46.28,46.29,
0日00:00:48,5.147,0.0528,0.0046,0.0009,47.05,47.06,
0日00:00:49,5.148,0.0527,0.0047,0.0009,47.82,47.83,
0日00:00:50,5.147,0.0527,0.0047,0.0009,48.59,48.6,
0日00:00:51,5.147,0.0528,0.0048,0.0009,49.36,49.37,
0日00:00:52,5.147,0.0528,0.0049,0.001,50.14,50.15,
0日00:00:53,5.143,0.0891,0.005,0.001,51.44,51.45,
0日00:00:54,5.124,0.0695,0.0051,0.001,52.45,52.46,
0日00:00:55,5.142,0.0726,0.0052,0.001,53.51,53.53,
0日00:00:56,5.143,0.0616,0.0053,0.001,54.41,54.43,
0日00:00:57,5.147,0.0527,0.0054,0.001,55.19,55.2,
0日00:00:58,5.147,0.0527,0.0055,0.0011,55.96,55.97,
0日00:00:59,5.147,0.0527,0.0055,0.0011,56.73,56.74,
0日00:01:00,5.147,0.0528,0.0056,0.0011,57.5,57.51,
0日00:01:01,5.147,0.0528,0.0057,0.0011,58.27,58.28,
0日00:01:02,5.124,0.131,0.0059,0.0011,60.18,60.19,
0日00:01:03,5.132,0.0898,0.006,0.0012,61.49,61.51,
0日00:01:04,5.14,0.0689,0.0061,0.0012,62.5,62.51,
0日00:01:05,5.146,0.0528,0.0062,0.0012,63.27,63.29,
0日00:01:06,5.147,0.0527,0.0063,0.0012,64.04,64.06,
0日00:01:07,5.147,0.0527,0.0063,0.0012,64.81,64.83,
0日00:01:08,5.147,0.0528,0.0064,0.0012,65.59,65.6,
0日00:01:09,5.147,0.0528,0.0065,0.0013,66.36,66.37,
0日00:01:10,5.145,0.086,0.0066,0.0013,67.62,67.63,
0日00:01:11,5.134,0.0685,0.0067,0.0013,68.62,68.63,
0日00:01:12,5.137,0.0898,0.0068,0.0013,69.93,69.94,
0日00:01:13,5.141,0.0652,0.0069,0.0013,70.88,70.89,
0日00:01:14,5.147,0.0526,0.007,0.0014,71.65,71.66,
0日00:01:15,5.147,0.0526,0.0071,0.0014,72.42,72.43,
0日00:01:16,5.147,0.0526,0.0072,0.0014,73.19,73.2,
0日00:01:17,5.147,0.0527,0.0072,0.0014,73.96,73.97,
0日00:01:18,5.147,0.0527,0.0073,0.0014,74.73,74.74,
0日00:01:19,5.141,0.135,0.0075,0.0015,76.71,76.71,
0日00:01:20,5.135,0.0799,0.0076,0.0015,77.87,77.88,
0日00:01:21,5.139,0.0829,0.0077,0.0015,79.09,79.09,
0日00:01:22,5.142,0.0565,0.0078,0.0015,79.91,79.92,
0日00:01:23,5.147,0.0525,0.0079,0.0015,80.68,80.69,
0日00:01:24,5.146,0.0527,0.008,0.0015,81.45,81.46,
0日00:01:25,5.146,0.0527,0.008,0.0016,82.22,82.23,
0日00:01:26,5.146,0.0528,0.0081,0.0016,82.99,83,
0日00:01:27,5.146,0.0553,0.0082,0.0016,83.8,83.81,
0日00:01:28,5.138,0.0655,0.0083,0.0016,84.76,84.77,
0日00:01:29,5.138,0.0897,0.0084,0.0016,86.07,86.08,
0日00:01:30,5.14,0.0652,0.0085,0.0017,87.02,87.03,
0日00:01:31,5.146,0.0524,0.0086,0.0017,87.79,87.8,
0日00:01:32,5.146,0.0527,0.0087,0.0017,88.56,88.57,
0日00:01:33,5.146,0.0527,0.0087,0.0017,89.33,89.34,
0日00:01:34,5.146,0.0527,0.0088,0.0017,90.1,90.11,
0日00:01:35,5.146,0.0528,0.0089,0.0017,90.88,90.88,
0日00:01:36,5.141,0.1318,0.0091,0.0018,92.8,92.8,
0日00:01:37,5.134,0.0797,0.0092,0.0018,93.97,93.97,
0日00:01:38,5.138,0.0822,0.0093,0.0018,95.17,95.17,
0日00:01:39,5.14,0.065,0.0094,0.0018,96.12,96.12,
0日00:01:40,5.146,0.0523,0.0095,0.0018,96.88,96.89,
0日00:01:41,5.146,0.0525,0.0095,0.0019,97.65,97.65,
0日00:01:42,5.146,0.0525,0.0096,0.0019,98.42,98.42,
0日00:01:43,5.146,0.0528,0.0097,0.0019,99.19,99.19,
0日00:01:44,5.146,0.0553,0.0098,0.0019,100,100,
0日00:01:45,5.137,0.0656,0.0099,0.0019,100.96,100.96,
