Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.082,0.0674,0.0001,0,1.85,1.85
0日00:00:01,5.082,0.0672,0.0002,0,3.7,3.69
0日00:00:02,5.081,0.0672,0.0003,0.0001,5.54,5.53
0日00:00:03,5.081,0.0672,0.0004,0.0001,7.38,7.38
0日00:00:04,5.078,0.0741,0.0005,0.0001,9.42,9.41
0日00:00:05,5.077,0.1049,0.0006,0.0001,12.29,12.29
0日00:00:06,5.077,0.0833,0.0007,0.0001,14.58,14.57
0日00:00:07,5.077,0.0663,0.0008,0.0002,16.4,16.39
0日00:00:08,5.084,0.0528,0.0009,0.0002,17.85,17.84
0日00:00:09,5.084,0.0783,0.001,0.0002,20,19.98
0日00:00:10,5.076,0.0664,0.0011,0.0002,21.82,21.8
0日00:00:11,5.075,0.0715,0.0012,0.0002,23.78,23.77
0日00:00:12,5.079,0.0596,0.0013,0.0003,25.42,25.4
0日00:00:13,5.082,0.1039,0.0015,0.0003,28.27,28.25
0日00:00:14,5.077,0.0716,0.0016,0.0003,30.23,30.21
0日00:00:15,5.075,0.0857,0.0017,0.0003,32.58,32.56
0日00:00:16,5.078,0.0642,0.0018,0.0003,34.34,34.32
0日00:00:17,5.084,0.0537,0.0018,0.0004,35.82,35.8
0日00:00:18,5.07,0.0651,0.0019,0.0004,37.6,37.58
0日00:00:19,5.072,0.0887,0.0021,0.0004,40.03,40.01
0日00:00:20,5.079,0.0649,0.0021,0.0004,41.81,41.79
0日00:00:21,5.083,0.0524,0.0022,0.0004,43.25,43.23
0日00:00:22,5.076,0.1537,0.0024,0.0005,47.47,47.45
0日00:00:23,5.072,0.0839,0.0026,0.0005,49.77,49.75
0日00:00:24,5.072,0.0855,0.0027,0.0005,52.11,52.09
0日00:00:25,5.079,0.0624,0.0028,0.0005,53.82,53.8
0日00:00:26,5.082,0.0733,0.0029,0.0006,55.83,55.81
0日00:00:27,5.073,0.0889,0.003,0.0006,58.27,58.25
0日00:00:28,5.073,0.0713,0.0031,0.0006,60.22,60.21
0日00:00:29,5.074,0.0635,0.0032,0.0006,61.96,61.95
0日00:00:30,5.081,0.0547,0.0033,0.0006,63.47,63.45
0日00:00:31,5.073,0.0645,0.0034,0.0007,65.23,65.22
0日00:00:32,5.073,0.0865,0.0035,0.0007,67.6,67.59
0日00:00:33,5.075,0.0647,0.0036,0.0007,69.38,69.36
0日00:00:34,5.081,0.0539,0.0036,0.0007,70.86,70.84
0日00:00:35,5.066,0.1426,0.0038,0.0008,74.76,74.75
0日00:00:36,5.069,0.0888,0.004,0.0008,77.19,77.19
0日00:00:37,5.074,0.0719,0.0041,0.0008,79.16,79.16
0日00:00:38,5.077,0.0555,0.0041,0.0008,80.69,80.68
0日00:00:39,5.076,0.151,0.0044,0.0009,84.83,84.82
0日00:00:40,5.073,0.0827,0.0045,0.0009,87.09,87.09
0日00:00:41,5.072,0.0846,0.0046,0.0009,89.41,89.41
0日00:00:42,5.074,0.0641,0.0047,0.0009,91.17,91.17
0日00:00:43,5.081,0.0662,0.0048,0.0009,92.99,92.98
0日00:00:44,5.071,0.0643,0.0049,0.001,94.75,94.75
0日00:00:45,5.071,0.0722,0.005,0.001,96.73,96.73
0日00:00:46,5.073,0.0636,0.0051,0.001,98.47,98.47
0日00:00:47,5.08,0.0558,0.0051,0.001,100,100
0日00:00:48,5.062,0.1038,0.0053,0.001,102.84,102.85
