This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.0510,0.0688,0.0001,0.0000,1.64,1.64
0日00:00:01,5.0500,0.0694,0.0002,0.0000,3.29,3.29
0日00:00:02,5.0510,0.0693,0.0003,0.0001,4.94,4.94
0日00:00:03,5.0510,0.0681,0.0004,0.0001,6.57,6.57
0日00:00:04,5.0470,0.0787,0.0005,0.0001,8.44,8.44
0日00:00:05,5.0460,0.0769,0.0006,0.0001,10.27,10.27
0日00:00:06,5.0510,0.0671,0.0007,0.0001,11.87,11.87
0日00:00:07,5.0570,0.0674,0.0008,0.0002,13.47,13.48
0日00:00:08,5.0500,0.0673,0.0009,0.0002,15.08,15.08
0日00:00:09,5.0500,0.0670,0.0010,0.0002,16.67,16.68
0日00:00:10,5.0510,0.0670,0.0011,0.0002,18.27,18.27
0日00:00:11,5.0510,0.0670,0.0012,0.0002,19.87,19.87
0日00:00:12,5.0490,0.0738,0.0013,0.0003,21.62,21.63
0日00:00:13,5.0460,0.0722,0.0014,0.0003,23.34,23.35
0日00:00:14,5.0510,0.0678,0.0015,0.0003,24.96,24.96
0日00:00:15,5.0590,0.0670,0.0016,0.0003,26.56,26.56
0日00:00:16,5.0510,0.0670,0.0017,0.0003,28.15,28.15
0日00:00:17,5.0510,0.0669,0.0018,0.0003,29.75,29.75
0日00:00:18,5.0510,0.0669,0.0018,0.0004,31.34,31.34
0日00:00:19,5.0500,0.0669,0.0019,0.0004,32.93,32.93
0日00:00:20,5.0470,0.0839,0.0021,0.0004,34.93,34.93
0日00:00:21,5.0470,0.0838,0.0022,0.0004,36.92,36.93
0日00:00:22,5.0480,0.0665,0.0023,0.0004,38.51,38.51
0日00:00:23,5.0620,0.0967,0.0024,0.0005,40.82,40.82
0日00:00:24,5.0500,0.0669,0.0025,0.0005,42.41,42.41
0日00:00:25,5.0500,0.0671,0.0026,0.0005,44.01,44.01
0日00:00:26,5.0500,0.0667,0.0027,0.0005,45.60,45.60
0日00:00:27,5.0500,0.0665,0.0028,0.0006,47.18,47.18
0日00:00:28,5.0490,0.0832,0.0029,0.0006,49.16,49.16
0日00:00:29,5.0470,0.0831,0.0030,0.0006,51.14,51.14
0日00:00:30,5.0480,0.0657,0.0031,0.0006,52.70,52.71
0日00:00:31,5.0610,0.0758,0.0032,0.0006,54.51,54.51
0日00:00:32,5.0510,0.0660,0.0033,0.0007,56.09,56.09
0日00:00:33,5.0500,0.0657,0.0034,0.0007,57.65,57.65
0日00:00:34,5.0500,0.0657,0.0035,0.0007,59.22,59.22
0日00:00:35,5.0500,0.0657,0.0036,0.0007,60.78,60.78
0日00:00:36,5.0480,0.0828,0.0037,0.0007,62.75,62.75
0日00:00:37,5.0460,0.0829,0.0038,0.0008,64.73,64.73
0日00:00:38,5.0480,0.0653,0.0039,0.0008,66.28,66.28
0日00:00:39,5.0620,0.0659,0.0040,0.0008,67.85,67.85
0日00:00:40,5.0550,0.0659,0.0041,0.0008,69.42,69.42
0日00:00:41,5.0500,0.0657,0.0042,0.0008,70.99,70.99
0日00:00:42,5.0500,0.0656,0.0043,0.0008,72.55,72.55
0日00:00:43,5.0500,0.0656,0.0044,0.0009,74.11,74.12
0日00:00:44,5.0500,0.0829,0.0045,0.0009,76.09,76.09
0日00:00:45,5.0490,0.0831,0.0046,0.0009,78.07,78.07
0日00:00:46,5.0500,0.0654,0.0047,0.0009,79.63,79.63
0日00:00:47,5.0500,0.1415,0.0049,0.0010,83.00,83.00
0日00:00:48,5.0510,0.0658,0.0050,0.0010,84.56,84.57
0日00:00:49,5.0500,0.0658,0.0051,0.0010,86.13,86.13
0日00:00:50,5.0500,0.0656,0.0052,0.0010,87.69,87.70
0日00:00:51,5.0500,0.0656,0.0053,0.0010,89.26,89.26
0日00:00:52,5.0510,0.0835,0.0054,0.0011,91.24,91.25
0日00:00:53,5.0550,0.0828,0.0055,0.0011,93.22,93.22
0日00:00:54,5.0540,0.0647,0.0056,0.0011,94.76,94.76
0日00:00:55,5.0510,0.1540,0.0058,0.0011,98.43,98.43
0日00:00:56,5.0510,0.0659,0.0059,0.0012,100.00,100.00
0日00:00:57,5.0500,0.0659,0.0060,0.0012,101.57,101.57
