Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.164,0.0051,0,0,0.26,0.26
0日00:00:01,5.147,0.0585,0.0001,0,3.23,3.22
0日00:00:02,5.147,0.0714,0.0002,0,6.85,6.84
0日00:00:03,5.135,0.0715,0.0003,0.0001,10.47,10.47
0日00:00:04,5.144,0.0705,0.0004,0.0001,14.04,14.04
0日00:00:05,5.144,0.0692,0.0005,0.0001,17.55,17.55
0日00:00:06,5.145,0.0693,0.0006,0.0001,21.06,21.06
0日00:00:07,5.145,0.0689,0.0007,0.0001,24.56,24.55
0日00:00:08,5.142,0.0785,0.0008,0.0002,28.54,28.53
0日00:00:09,5.141,0.0989,0.0009,0.0002,33.55,33.54
0日00:00:10,5.141,0.0865,0.0011,0.0002,37.93,37.93
0日00:00:11,5.141,0.0847,0.0012,0.0002,42.22,42.22
0日00:00:12,5.144,0.0557,0.0013,0.0002,45.04,45.05
0日00:00:13,5.148,0.0546,0.0013,0.0003,47.81,47.81
0日00:00:14,5.148,0.0545,0.0014,0.0003,50.58,50.58
0日00:00:15,5.148,0.0545,0.0015,0.0003,53.34,53.34
0日00:00:16,5.148,0.0547,0.0016,0.0003,56.12,56.11
0日00:00:17,5.148,0.0547,0.0017,0.0003,58.89,58.88
0日00:00:18,5.131,0.1056,0.0018,0.0004,64.23,64.24
0日00:00:19,5.136,0.0907,0.0019,0.0004,68.83,68.83
0日00:00:20,5.142,0.0663,0.002,0.0004,72.19,72.19
0日00:00:21,5.148,0.0544,0.0021,0.0004,74.95,74.95
0日00:00:22,5.148,0.0539,0.0022,0.0004,77.68,77.68
0日00:00:23,5.148,0.0541,0.0023,0.0004,80.42,80.42
0日00:00:24,5.148,0.0541,0.0023,0.0005,83.17,83.17
0日00:00:25,5.148,0.0541,0.0024,0.0005,85.91,85.91
0日00:00:26,5.147,0.0681,0.0025,0.0005,89.37,89.36
0日00:00:27,5.137,0.0669,0.0026,0.0005,92.76,92.75
0日00:00:28,5.138,0.0764,0.0027,0.0005,96.62,96.62
0日00:00:29,5.143,0.0666,0.0028,0.0005,100,100
0日00:00:30,5.148,0.0544,0.0029,0.0006,102.76,102.76
