This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1850,0.0001,0.0000,0.0000,0.00,0.00
0日00:00:01,5.1850,0.0001,0.0000,0.0000,0.00,0.00
0日00:00:02,5.1750,0.0581,0.0001,0.0000,0.96,0.96
0日00:00:03,5.1680,0.0666,0.0002,0.0000,2.06,2.06
0日00:00:04,5.1560,0.0724,0.0003,0.0001,3.25,3.25
0日00:00:05,5.1640,0.0712,0.0004,0.0001,4.43,4.42
0日00:00:06,5.1660,0.0703,0.0005,0.0001,5.58,5.58
0日00:00:07,5.1660,0.0701,0.0006,0.0001,6.74,6.74
0日00:00:08,5.1660,0.0694,0.0007,0.0001,7.88,7.88
0日00:00:09,5.1640,0.0873,0.0008,0.0002,9.32,9.32
0日00:00:10,5.1620,0.1402,0.0010,0.0002,11.63,11.63
0日00:00:11,5.1630,0.0869,0.0011,0.0002,13.06,13.06
0日00:00:12,5.1620,0.0778,0.0012,0.0002,14.34,14.34
0日00:00:13,5.1670,0.0616,0.0013,0.0003,15.36,15.35
0日00:00:14,5.1700,0.0545,0.0014,0.0003,16.26,16.25
0日00:00:15,5.1700,0.0542,0.0015,0.0003,17.15,17.15
0日00:00:16,5.1700,0.0545,0.0016,0.0003,18.05,18.04
0日00:00:17,5.1700,0.0545,0.0016,0.0003,18.95,18.94
0日00:00:18,5.1690,0.0545,0.0017,0.0003,19.85,19.84
0日00:00:19,5.1380,0.1536,0.0019,0.0004,22.37,22.37
0日00:00:20,5.1520,0.0903,0.0021,0.0004,23.85,23.86
0日00:00:21,5.1640,0.0760,0.0022,0.0004,25.10,25.11
0日00:00:22,5.1690,0.0547,0.0023,0.0004,26.01,26.01
0日00:00:23,5.1690,0.0542,0.0023,0.0005,26.90,26.90
0日00:00:24,5.1690,0.0542,0.0024,0.0005,27.79,27.80
0日00:00:25,5.1690,0.0543,0.0025,0.0005,28.69,28.69
0日00:00:26,5.1690,0.0543,0.0026,0.0005,29.59,29.58
0日00:00:27,5.1690,0.0644,0.0027,0.0005,30.65,30.64
0日00:00:28,5.1570,0.0664,0.0028,0.0005,31.74,31.74
0日00:00:29,5.1610,0.0862,0.0029,0.0006,33.16,33.16
0日00:00:30,5.1660,0.0661,0.0030,0.0006,34.25,34.25
0日00:00:31,5.1690,0.0544,0.0031,0.0006,35.15,35.14
0日00:00:32,5.1690,0.0540,0.0031,0.0006,36.04,36.03
0日00:00:33,5.1690,0.0542,0.0032,0.0006,36.93,36.93
0日00:00:34,5.1690,0.0543,0.0033,0.0006,37.83,37.82
0日00:00:35,5.1690,0.0544,0.0034,0.0007,38.72,38.72
0日00:00:36,5.1540,0.1024,0.0035,0.0007,40.41,40.40
0日00:00:37,5.1470,0.0745,0.0036,0.0007,41.63,41.63
0日00:00:38,5.1600,0.0864,0.0037,0.0007,43.05,43.05
0日00:00:39,5.1670,0.0609,0.0038,0.0007,44.06,44.06
0日00:00:40,5.1690,0.0543,0.0039,0.0008,44.95,44.95
0日00:00:41,5.1690,0.0543,0.0040,0.0008,45.85,45.85
0日00:00:42,5.1690,0.0543,0.0041,0.0008,46.75,46.74
0日00:00:43,5.1690,0.0543,0.0041,0.0008,47.64,47.64
0日00:00:44,5.1690,0.0544,0.0042,0.0008,48.54,48.53
0日00:00:45,5.1540,0.1572,0.0045,0.0009,51.12,51.12
0日00:00:46,5.1580,0.0901,0.0046,0.0009,52.61,52.61
0日00:00:47,5.1630,0.0765,0.0047,0.0009,53.87,53.87
0日00:00:48,5.1660,0.0548,0.0048,0.0009,54.77,54.77
0日00:00:49,5.1690,0.0543,0.0048,0.0009,55.67,55.66
0日00:00:50,5.1690,0.0541,0.0049,0.0010,56.56,56.55
0日00:00:51,5.1690,0.0544,0.0050,0.0010,57.45,57.45
0日00:00:52,5.1690,0.0544,0.0051,0.0010,58.35,58.35
0日00:00:53,5.1690,0.0562,0.0052,0.0010,59.28,59.27
0日00:00:54,5.1550,0.0663,0.0053,0.0010,60.37,60.36
0日00:00:55,5.1600,0.0871,0.0054,0.0010,61.80,61.80
0日00:00:56,5.1630,0.0662,0.0055,0.0011,62.89,62.89
0日00:00:57,5.1680,0.0545,0.0056,0.0011,63.79,63.79
0日00:00:58,5.1690,0.0541,0.0056,0.0011,64.69,64.68
0日00:00:59,5.1690,0.0542,0.0057,0.0011,65.58,65.57
0日00:01:00,5.1680,0.0544,0.0058,0.0011,66.48,66.47
0日00:01:01,5.1680,0.0544,0.0059,0.0011,67.37,67.36
0日00:01:02,5.1630,0.0983,0.0060,0.0012,68.99,68.98
0日00:01:03,5.1480,0.0731,0.0061,0.0012,70.19,70.19
0日00:01:04,5.1590,0.0874,0.0062,0.0012,71.63,71.63
0日00:01:05,5.1630,0.0662,0.0063,0.0012,72.72,72.72
0日00:01:06,5.1680,0.0544,0.0064,0.0012,73.62,73.61
0日00:01:07,5.1680,0.0542,0.0065,0.0013,74.51,74.51
0日00:01:08,5.1680,0.0544,0.0066,0.0013,75.41,75.40
0日00:01:09,5.1680,0.0544,0.0066,0.0013,76.31,76.30
0日00:01:10,5.1680,0.0545,0.0067,0.0013,77.21,77.20
0日00:01:11,5.1540,0.1563,0.0069,0.0013,79.78,79.77
0日00:01:12,5.1570,0.0900,0.0071,0.0014,81.26,81.25
0日00:01:13,5.1620,0.0783,0.0072,0.0014,82.55,82.54
0日00:01:14,5.1650,0.0549,0.0073,0.0014,83.45,83.45
0日00:01:15,5.1680,0.0544,0.0073,0.0014,84.35,84.34
0日00:01:16,5.1680,0.0544,0.0074,0.0014,85.25,85.24
0日00:01:17,5.1680,0.0544,0.0075,0.0015,86.14,86.14
0日00:01:18,5.1680,0.0545,0.0076,0.0015,87.04,87.03
0日00:01:19,5.1680,0.0561,0.0077,0.0015,87.97,87.96
0日00:01:20,5.1370,0.0664,0.0078,0.0015,89.06,89.05
0日00:01:21,5.1570,0.0901,0.0079,0.0015,90.54,90.54
0日00:01:22,5.1630,0.0660,0.0080,0.0015,91.63,91.62
0日00:01:23,5.1670,0.0547,0.0081,0.0016,92.53,92.52
0日00:01:24,5.1680,0.0545,0.0081,0.0016,93.43,93.42
0日00:01:25,5.1680,0.0542,0.0082,0.0016,94.32,94.32
0日00:01:26,5.1680,0.0546,0.0083,0.0016,95.22,95.21
0日00:01:27,5.1680,0.0546,0.0084,0.0016,96.12,96.11
0日00:01:28,5.1570,0.0904,0.0085,0.0016,97.61,97.60
0日00:01:29,5.1440,0.0717,0.0086,0.0017,98.78,98.78
0日00:01:30,5.1620,0.0738,0.0087,0.0017,100.00,100.00
0日00:01:31,5.1620,0.0661,0.0088,0.0017,101.09,101.09
