Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.136,0.0001,0,0,0,0
0日00:00:01,5.115,0.0588,0.0001,0,0.98,0.99
0日00:00:02,5.12,0.0541,0.0002,0,1.88,1.9
0日00:00:03,5.122,0.1117,0.0003,0.0001,3.75,3.77
0日00:00:04,5.159,0.0657,0.0004,0.0001,4.85,4.88
0日00:00:05,5.159,0.0664,0.0005,0.0001,5.97,5.99
0日00:00:06,5.159,0.065,0.0006,0.0001,7.06,7.08
0日00:00:07,5.16,0.0637,0.0007,0.0001,8.13,8.15
0日00:00:08,5.159,0.0842,0.0008,0.0002,9.54,9.56
0日00:00:09,5.157,0.12,0.001,0.0002,11.56,11.58
0日00:00:10,5.156,0.0775,0.0011,0.0002,12.86,12.88
0日00:00:11,5.155,0.0793,0.0012,0.0002,14.19,14.21
0日00:00:12,5.158,0.0587,0.0013,0.0003,15.18,15.2
0日00:00:13,5.163,0.0537,0.0014,0.0003,16.08,16.1
0日00:00:14,5.163,0.0534,0.0014,0.0003,16.98,17
0日00:00:15,5.163,0.0536,0.0015,0.0003,17.88,17.9
0日00:00:16,5.163,0.0536,0.0016,0.0003,18.78,18.8
0日00:00:17,5.163,0.0536,0.0017,0.0003,19.68,19.7
0日00:00:18,5.148,0.1414,0.0019,0.0004,22.05,22.07
0日00:00:19,5.152,0.089,0.002,0.0004,23.55,23.56
0日00:00:20,5.155,0.0802,0.0021,0.0004,24.89,24.91
0日00:00:21,5.159,0.0569,0.0022,0.0004,25.85,25.87
0日00:00:22,5.163,0.0524,0.0023,0.0004,26.73,26.74
0日00:00:23,5.163,0.0524,0.0024,0.0005,27.61,27.62
0日00:00:24,5.163,0.0525,0.0024,0.0005,28.5,28.51
0日00:00:25,5.163,0.0525,0.0025,0.0005,29.38,29.39
0日00:00:26,5.162,0.0644,0.0026,0.0005,30.46,30.47
0日00:00:27,5.14,0.0653,0.0027,0.0005,31.55,31.56
0日00:00:28,5.152,0.089,0.0028,0.0005,33.05,33.06
0日00:00:29,5.16,0.0651,0.0029,0.0006,34.14,34.15
0日00:00:30,5.163,0.0524,0.003,0.0006,35.02,35.03
0日00:00:31,5.163,0.0523,0.0031,0.0006,35.9,35.91
0日00:00:32,5.163,0.0524,0.0031,0.0006,36.78,36.79
0日00:00:33,5.163,0.0525,0.0032,0.0006,37.67,37.67
0日00:00:34,5.163,0.0522,0.0033,0.0006,38.54,38.55
0日00:00:35,5.162,0.0636,0.0034,0.0007,39.61,39.62
0日00:00:36,5.138,0.0646,0.0035,0.0007,40.69,40.7
0日00:00:37,5.155,0.0791,0.0036,0.0007,42.02,42.03
0日00:00:38,5.161,0.0569,0.0037,0.0007,42.98,42.98
0日00:00:39,5.163,0.052,0.0037,0.0007,43.85,43.86
0日00:00:40,5.163,0.0517,0.0038,0.0007,44.72,44.72
0日00:00:41,5.163,0.052,0.0039,0.0008,45.6,45.6
0日00:00:42,5.163,0.052,0.004,0.0008,46.47,46.47
0日00:00:43,5.163,0.0521,0.004,0.0008,47.35,47.34
0日00:00:44,5.147,0.1469,0.0042,0.0008,49.81,49.81
0日00:00:45,5.151,0.0884,0.0044,0.0008,51.29,51.3
0日00:00:46,5.155,0.0785,0.0045,0.0009,52.61,52.61
0日00:00:47,5.161,0.0573,0.0046,0.0009,53.57,53.58
0日00:00:48,5.162,0.052,0.0046,0.0009,54.45,54.45
0日00:00:49,5.162,0.052,0.0047,0.0009,55.32,55.32
0日00:00:50,5.162,0.0521,0.0048,0.0009,56.2,56.2
0日00:00:51,5.162,0.052,0.0049,0.0009,57.07,57.07
0日00:00:52,5.162,0.0543,0.0049,0.001,57.99,57.98
0日00:00:53,5.148,0.0646,0.005,0.001,59.07,59.07
0日00:00:54,5.152,0.0884,0.0052,0.001,60.55,60.55
0日00:00:55,5.159,0.0646,0.0053,0.001,61.64,61.63
0日00:00:56,5.162,0.0521,0.0053,0.001,62.51,62.51
0日00:00:57,5.162,0.0519,0.0054,0.001,63.39,63.38
0日00:00:58,5.162,0.052,0.0055,0.0011,64.26,64.25
0日00:00:59,5.162,0.0521,0.0056,0.0011,65.14,65.13
0日00:01:00,5.162,0.0521,0.0056,0.0011,66.01,66
0日00:01:01,5.159,0.0625,0.0057,0.0011,67.06,67.05
0日00:01:02,5.134,0.0646,0.0058,0.0011,68.14,68.14
0日00:01:03,5.154,0.0823,0.0059,0.0012,69.52,69.52
0日00:01:04,5.159,0.0642,0.006,0.0012,70.6,70.6
0日00:01:05,5.162,0.0522,0.0061,0.0012,71.48,71.47
0日00:01:06,5.162,0.052,0.0062,0.0012,72.35,72.35
0日00:01:07,5.162,0.052,0.0062,0.0012,73.23,73.22
0日00:01:08,5.162,0.052,0.0063,0.0012,74.1,74.09
0日00:01:09,5.162,0.0521,0.0064,0.0012,74.98,74.97
0日00:01:10,5.135,0.1513,0.0066,0.0013,77.51,77.51
0日00:01:11,5.146,0.0883,0.0067,0.0013,78.99,78.99
0日00:01:12,5.155,0.0765,0.0068,0.0013,80.27,80.27
0日00:01:13,5.159,0.058,0.0069,0.0013,81.25,81.25
0日00:01:14,5.162,0.0519,0.007,0.0014,82.12,82.12
0日00:01:15,5.162,0.0519,0.0071,0.0014,82.99,82.99
0日00:01:16,5.162,0.052,0.0072,0.0014,83.87,83.86
0日00:01:17,5.162,0.052,0.0072,0.0014,84.74,84.74
0日00:01:18,5.162,0.0541,0.0073,0.0014,85.65,85.64
0日00:01:19,5.134,0.1548,0.0075,0.0015,88.24,88.24
0日00:01:20,5.146,0.0882,0.0077,0.0015,89.72,89.72
0日00:01:21,5.156,0.0741,0.0078,0.0015,90.96,90.97
0日00:01:22,5.159,0.0524,0.0078,0.0015,91.84,91.85
0日00:01:23,5.162,0.0519,0.0079,0.0015,92.72,92.72
0日00:01:24,5.162,0.052,0.008,0.0015,93.59,93.59
0日00:01:25,5.162,0.0521,0.0081,0.0016,94.47,94.47
0日00:01:26,5.162,0.0521,0.0081,0.0016,95.34,95.34
0日00:01:27,5.161,0.0622,0.0082,0.0016,96.39,96.39
0日00:01:28,5.148,0.0644,0.0083,0.0016,97.47,97.47
0日00:01:29,5.152,0.0848,0.0084,0.0016,98.89,98.89
0日00:01:30,5.155,0.0661,0.0085,0.0017,100,100
0日00:01:31,5.159,0.055,0.0086,0.0017,100.92,100.92
