Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.14,0.0574,0.0001,0,1.4,1.4
0日00:00:01,5.138,0.0593,0.0002,0,2.86,2.85
0日00:00:02,5.136,0.1044,0.0003,0.0001,5.41,5.41
0日00:00:03,5.131,0.0686,0.0004,0.0001,7.09,7.08
0日00:00:04,5.137,0.0677,0.0005,0.0001,8.74,8.74
0日00:00:05,5.137,0.0674,0.0006,0.0001,10.39,10.39
0日00:00:06,5.137,0.0669,0.0007,0.0001,12.03,12.02
0日00:00:07,5.137,0.0667,0.0008,0.0002,13.66,13.65
0日00:00:08,5.135,0.0727,0.0009,0.0002,15.44,15.43
0日00:00:09,5.137,0.0661,0.001,0.0002,17.05,17.05
0日00:00:10,5.137,0.0661,0.0011,0.0002,18.67,18.66
0日00:00:11,5.137,0.0656,0.0012,0.0002,20.28,20.27
0日00:00:12,5.137,0.0658,0.0013,0.0002,21.88,21.88
0日00:00:13,5.116,0.0824,0.0014,0.0003,23.89,23.89
0日00:00:14,5.131,0.0847,0.0015,0.0003,25.96,25.96
0日00:00:15,5.135,0.0671,0.0016,0.0003,27.6,27.6
0日00:00:16,5.14,0.0527,0.0017,0.0003,28.89,28.89
0日00:00:17,5.141,0.0526,0.0018,0.0003,30.18,30.18
0日00:00:18,5.141,0.0526,0.0018,0.0004,31.47,31.46
0日00:00:19,5.141,0.0526,0.0019,0.0004,32.76,32.75
0日00:00:20,5.137,0.1123,0.0021,0.0004,35.5,35.5
0日00:00:21,5.131,0.0772,0.0022,0.0004,37.39,37.38
0日00:00:22,5.131,0.0794,0.0023,0.0004,39.33,39.32
0日00:00:23,5.139,0.0576,0.0024,0.0005,40.74,40.73
0日00:00:24,5.141,0.0525,0.0025,0.0005,42.02,42.02
0日00:00:25,5.14,0.0525,0.0025,0.0005,43.31,43.3
0日00:00:26,5.14,0.0526,0.0026,0.0005,44.6,44.59
0日00:00:27,5.14,0.0525,0.0027,0.0005,45.88,45.87
0日00:00:28,5.132,0.0921,0.0028,0.0005,48.13,48.12
0日00:00:29,5.132,0.0896,0.0029,0.0006,50.32,50.31
0日00:00:30,5.132,0.0652,0.003,0.0006,51.92,51.91
0日00:00:31,5.14,0.0525,0.0031,0.0006,53.2,53.19
0日00:00:32,5.14,0.0525,0.0032,0.0006,54.49,54.47
0日00:00:33,5.14,0.0526,0.0033,0.0006,55.77,55.76
0日00:00:34,5.14,0.0525,0.0033,0.0006,57.06,57.04
0日00:00:35,5.134,0.105,0.0035,0.0007,59.63,59.61
0日00:00:36,5.124,0.0747,0.0036,0.0007,61.45,61.44
0日00:00:37,5.133,0.0774,0.0037,0.0007,63.34,63.33
0日00:00:38,5.138,0.059,0.0038,0.0007,64.78,64.77
0日00:00:39,5.14,0.0525,0.0039,0.0008,66.07,66.06
0日00:00:40,5.14,0.0524,0.0039,0.0008,67.35,67.34
0日00:00:41,5.14,0.0525,0.004,0.0008,68.64,68.62
0日00:00:42,5.14,0.0525,0.0041,0.0008,69.92,69.91
0日00:00:43,5.131,0.1008,0.0042,0.0008,72.38,72.37
0日00:00:44,5.132,0.0893,0.0043,0.0008,74.57,74.55
0日00:00:45,5.132,0.0652,0.0044,0.0009,76.16,76.15
0日00:00:46,5.136,0.0536,0.0045,0.0009,77.47,77.46
0日00:00:47,5.14,0.0523,0.0046,0.0009,78.75,78.74
0日00:00:48,5.14,0.0526,0.0047,0.0009,80.04,80.02
0日00:00:49,5.14,0.0525,0.0047,0.0009,81.32,81.31
0日00:00:50,5.14,0.0549,0.0048,0.0009,82.67,82.65
0日00:00:51,5.115,0.0651,0.0049,0.001,84.25,84.24
0日00:00:52,5.128,0.0897,0.005,0.001,86.44,86.43
0日00:00:53,5.134,0.0648,0.0051,0.001,88.03,88.02
0日00:00:54,5.14,0.0525,0.0052,0.001,89.31,89.3
0日00:00:55,5.14,0.0525,0.0053,0.001,90.6,90.59
0日00:00:56,5.14,0.0536,0.0054,0.001,91.91,91.9
0日00:00:57,5.139,0.0533,0.0054,0.0011,93.21,93.2
0日00:00:58,5.115,0.1078,0.0056,0.0011,95.84,95.84
0日00:00:59,5.125,0.0839,0.0057,0.0011,97.89,97.89
0日00:01:00,5.133,0.0864,0.0058,0.0011,100,100
0日00:01:01,5.14,0.0087,0.0058,0.0011,100.21,100.21
