Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,
0日00:00:00,5.159,0.0001,0,0,0,0,,
0日00:00:01,5.15,0.0642,0.0001,0,1.11,1.12,,起動からデータを一つ送信するまでの消費電力量
0日00:00:02,5.143,0.0565,0.0002,0,2.09,2.1,,0.015469231
0日00:00:03,5.127,0.087,0.0003,0.0001,3.58,3.61,,
0日00:00:04,5.139,0.0705,0.0004,0.0001,4.8,4.83,,
0日00:00:05,5.14,0.0696,0.0005,0.0001,6,6.04,,
0日00:00:06,5.14,0.0688,0.0006,0.0001,7.19,7.23,,
0日00:00:07,5.14,0.068,0.0007,0.0001,8.36,8.41,,
0日00:00:08,5.139,0.0855,0.0008,0.0002,9.84,9.9,,
0日00:00:09,5.138,0.0733,0.0009,0.0002,11.1,11.17,,
0日00:00:10,5.136,0.0673,0.001,0.0002,12.26,12.34,,
0日00:00:11,5.136,0.0727,0.0011,0.0002,13.51,13.6,,
0日00:00:12,5.138,0.067,0.0012,0.0002,14.67,14.76,,
0日00:00:13,5.144,0.0527,0.0013,0.0003,15.58,15.67,,
0日00:00:14,5.144,0.0527,0.0014,0.0003,16.49,16.59,,
0日00:00:15,5.144,0.0527,0.0014,0.0003,17.4,17.5,,
0日00:00:16,5.144,0.0527,0.0015,0.0003,18.31,18.42,,
0日00:00:17,5.144,0.0528,0.0016,0.0003,19.22,19.33,,
0日00:00:18,5.182,0.0666,0.0017,0.0003,20.38,20.49,,
0日00:00:19,5.181,0.0906,0.0018,0.0004,21.95,22.06,,
0日00:00:20,5.178,0.0725,0.0019,0.0004,23.21,23.32,,
0日00:00:21,5.185,0.0534,0.002,0.0004,24.14,24.25,,
0日00:00:22,5.186,0.0532,0.0021,0.0004,25.07,25.17,,
0日00:00:23,5.186,0.0533,0.0022,0.0004,26,26.1,,
0日00:00:24,5.186,0.0535,0.0022,0.0004,26.93,27.02,,
0日00:00:25,5.186,0.0535,0.0023,0.0004,27.86,27.95,,
0日00:00:26,5.185,0.056,0.0024,0.0005,28.83,28.92,,
0日00:00:27,5.152,0.0663,0.0025,0.0005,29.98,30.07,,
0日00:00:28,5.175,0.0903,0.0026,0.0005,31.55,31.64,,
0日00:00:29,5.18,0.0656,0.0027,0.0005,32.69,32.78,,
0日00:00:30,5.186,0.0532,0.0028,0.0005,33.62,33.7,,
0日00:00:31,5.186,0.0532,0.0029,0.0006,34.54,34.63,,
0日00:00:32,5.186,0.0533,0.0029,0.0006,35.47,35.55,,
0日00:00:33,5.186,0.0534,0.003,0.0006,36.4,36.48,,
0日00:00:34,5.185,0.0534,0.0031,0.0006,37.33,37.4,,
0日00:00:35,5.156,0.1439,0.0033,0.0006,39.82,39.9,,
0日00:00:36,5.168,0.0905,0.0034,0.0007,41.39,41.47,,
0日00:00:37,5.18,0.0726,0.0035,0.0007,42.65,42.73,,
0日00:00:38,5.184,0.0581,0.0036,0.0007,43.66,43.74,,
0日00:00:39,5.185,0.0532,0.0037,0.0007,44.59,44.66,,
0日00:00:40,5.185,0.0532,0.0038,0.0007,45.51,45.59,,
0日00:00:41,5.185,0.0533,0.0038,0.0007,46.44,46.51,,
0日00:00:42,5.185,0.0533,0.0039,0.0008,47.37,47.44,,
0日00:00:43,5.185,0.0559,0.004,0.0008,48.34,48.41,,
0日00:00:44,5.151,0.0661,0.0041,0.0008,49.48,49.55,,
0日00:00:45,5.173,0.0903,0.0042,0.0008,51.05,51.12,,
0日00:00:46,5.179,0.0664,0.0043,0.0008,52.21,52.27,,
0日00:00:47,5.184,0.0533,0.0044,0.0009,53.13,53.2,,
0日00:00:48,5.185,0.0533,0.0045,0.0009,54.06,54.12,,
0日00:00:49,5.185,0.0533,0.0046,0.0009,54.99,55.05,,
0日00:00:50,5.185,0.0534,0.0046,0.0009,55.92,55.97,,
0日00:00:51,5.185,0.0534,0.0047,0.0009,56.85,56.9,,
0日00:00:52,5.162,0.1255,0.0049,0.0009,59.02,59.08,,
0日00:00:53,5.162,0.0781,0.005,0.001,60.38,60.43,,
0日00:00:54,5.178,0.0807,0.0051,0.001,61.78,61.84,,
0日00:00:55,5.184,0.0585,0.0052,0.001,62.8,62.85,,
0日00:00:56,5.185,0.0532,0.0053,0.001,63.72,63.77,,
0日00:00:57,5.185,0.0532,0.0054,0.001,64.65,64.7,,
0日00:00:58,5.185,0.0533,0.0054,0.0011,65.57,65.62,,
0日00:00:59,5.185,0.0534,0.0055,0.0011,66.5,66.55,,
0日00:01:00,5.185,0.0534,0.0056,0.0011,67.43,67.48,,
0日00:01:01,5.155,0.0948,0.0057,0.0011,69.07,69.12,,
0日00:01:02,5.173,0.0904,0.0058,0.0011,70.64,70.69,,
0日00:01:03,5.179,0.066,0.0059,0.0011,71.79,71.83,,
0日00:01:04,5.182,0.0536,0.006,0.0012,72.72,72.76,,
0日00:01:05,5.185,0.0532,0.0061,0.0012,73.65,73.69,,
0日00:01:06,5.185,0.0533,0.0062,0.0012,74.58,74.61,,
0日00:01:07,5.185,0.0533,0.0062,0.0012,75.5,75.54,,
0日00:01:08,5.185,0.0534,0.0063,0.0012,76.43,76.46,,
0日00:01:09,5.161,0.1254,0.0065,0.0013,78.61,78.64,,
0日00:01:10,5.161,0.0783,0.0066,0.0013,79.96,80,,
0日00:01:11,5.176,0.0831,0.0067,0.0013,81.41,81.44,,
0日00:01:12,5.181,0.0657,0.0068,0.0013,82.55,82.58,,
0日00:01:13,5.185,0.0531,0.0069,0.0013,83.47,83.5,,
0日00:01:14,5.184,0.0532,0.007,0.0014,84.4,84.43,,
0日00:01:15,5.184,0.0532,0.0071,0.0014,85.32,85.35,,
0日00:01:16,5.184,0.0532,0.0071,0.0014,86.25,86.27,,
0日00:01:17,5.185,0.0533,0.0072,0.0014,87.18,87.2,,
0日00:01:18,5.177,0.1716,0.0075,0.0014,90.16,90.18,,
0日00:01:19,5.175,0.0897,0.0076,0.0015,91.72,91.73,,
0日00:01:20,5.175,0.0863,0.0077,0.0015,93.22,93.23,,
0日00:01:21,5.18,0.0533,0.0078,0.0015,94.14,94.16,,
0日00:01:22,5.184,0.0533,0.0079,0.0015,95.07,95.08,,
0日00:01:23,5.184,0.0532,0.0079,0.0015,96,96,,
0日00:01:24,5.184,0.0533,0.008,0.0016,96.92,96.93,,
0日00:01:25,5.184,0.0534,0.0081,0.0016,97.85,97.86,,
0日00:01:26,5.184,0.0576,0.0082,0.0016,98.85,98.85,,
0日00:01:27,5.171,0.066,0.0083,0.0016,100,100,,
0日00:01:28,5.175,0.0844,0.0084,0.0016,101.47,101.46,,
