Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.144,0.064,0.0001,0,2.9,2.89
0日00:00:01,5.143,0.0584,0.0002,0,5.54,5.54
0日00:00:02,5.133,0.0906,0.0003,0.0001,9.64,9.63
0日00:00:03,5.119,0.0725,0.0004,0.0001,12.91,12.91
0日00:00:04,5.139,0.072,0.0005,0.0001,16.16,16.17
0日00:00:05,5.139,0.0709,0.0006,0.0001,19.37,19.37
0日00:00:06,5.139,0.0706,0.0007,0.0001,22.57,22.57
0日00:00:07,5.14,0.0758,0.0008,0.0002,26,26
0日00:00:08,5.137,0.0815,0.0009,0.0002,29.68,29.68
0日00:00:09,5.137,0.0699,0.001,0.0002,32.84,32.84
0日00:00:10,5.137,0.087,0.0012,0.0002,36.78,36.78
0日00:00:11,5.138,0.0692,0.0013,0.0002,39.91,39.91
0日00:00:12,5.144,0.0551,0.0013,0.0003,42.4,42.4
0日00:00:13,5.129,0.1077,0.0015,0.0003,47.27,47.27
0日00:00:14,5.132,0.0672,0.0016,0.0003,50.3,50.31
0日00:00:15,5.138,0.0736,0.0017,0.0003,53.63,53.64
0日00:00:16,5.138,0.0667,0.0018,0.0003,56.65,56.66
0日00:00:17,5.143,0.0549,0.0019,0.0004,59.14,59.14
0日00:00:18,5.133,0.1281,0.002,0.0004,64.93,64.93
0日00:00:19,5.134,0.0901,0.0022,0.0004,69,69.01
0日00:00:20,5.134,0.0837,0.0023,0.0004,72.78,72.79
0日00:00:21,5.14,0.0655,0.0024,0.0005,75.75,75.75
0日00:00:22,5.143,0.0548,0.0025,0.0005,78.23,78.23
0日00:00:23,5.138,0.0665,0.0026,0.0005,81.24,81.24
0日00:00:24,5.137,0.09,0.0027,0.0005,85.31,85.31
0日00:00:25,5.137,0.0663,0.0028,0.0005,88.31,88.31
0日00:00:26,5.142,0.0546,0.0029,0.0006,90.78,90.78
0日00:00:27,5.142,0.0638,0.003,0.0006,93.67,93.66
0日00:00:28,5.13,0.0665,0.003,0.0006,96.67,96.67
0日00:00:29,5.137,0.0736,0.0032,0.0006,100,100
0日00:00:30,5.138,0.0664,0.0032,0.0006,103,103
