Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.129,0.0001,0,0,0.01,0.01
0日00:00:01,5.129,0.0001,0,0,0.01,0.01
0日00:00:02,5.116,0.0422,0.0001,0,2.95,2.95
0日00:00:03,5.113,0.0483,0.0001,0,6.31,6.31
0日00:00:04,5.115,0.0497,0.0002,0,9.77,9.77
0日00:00:05,5.115,0.0498,0.0003,0.0001,13.24,13.24
0日00:00:06,5.114,0.0507,0.0003,0.0001,16.76,16.76
0日00:00:07,5.114,0.0508,0.0004,0.0001,20.3,20.3
0日00:00:08,5.114,0.0529,0.0005,0.0001,23.98,23.98
0日00:00:09,5.114,0.0538,0.0006,0.0001,27.72,27.72
0日00:00:10,5.113,0.056,0.0006,0.0001,31.62,31.62
0日00:00:11,5.113,0.0559,0.0007,0.0001,35.5,35.51
0日00:00:12,5.113,0.0558,0.0008,0.0002,39.39,39.39
0日00:00:13,5.113,0.0551,0.0009,0.0002,43.22,43.23
0日00:00:14,5.113,0.0547,0.001,0.0002,47.02,47.04
0日00:00:15,5.113,0.0548,0.001,0.0002,50.84,50.85
0日00:00:16,5.113,0.0553,0.0011,0.0002,54.68,54.7
0日00:00:17,5.113,0.0547,0.0012,0.0002,58.49,58.5
0日00:00:18,5.113,0.0551,0.0013,0.0002,62.32,62.34
0日00:00:19,5.113,0.0535,0.0013,0.0003,66.04,66.06
0日00:00:20,5.113,0.0536,0.0014,0.0003,69.77,69.79
0日00:00:21,5.112,0.0546,0.0015,0.0003,73.57,73.59
0日00:00:22,5.113,0.0546,0.0016,0.0003,77.37,77.39
0日00:00:23,5.113,0.0539,0.0017,0.0003,81.11,81.14
0日00:00:24,5.113,0.0536,0.0017,0.0003,84.84,84.87
0日00:00:25,5.113,0.0543,0.0018,0.0004,88.62,88.65
0日00:00:26,5.113,0.0543,0.0019,0.0004,92.4,92.43
0日00:00:27,5.118,0.0543,0.002,0.0004,96.18,96.21
0日00:00:28,5.154,0.0545,0.002,0.0004,100,100
0日00:00:29,5.154,0.053,0.0021,0.0004,103.72,103.69
平均値,,0.053214815,,,,
中央値,5.113,0.0541,,,,
消費電力,0.2766133,,,,,
