This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1480,0.0679,0.0001,0.0000,1.20,1.20
0日00:00:01,5.1480,0.0675,0.0002,0.0000,2.40,2.39
0日00:00:02,5.1480,0.0674,0.0003,0.0001,3.59,3.59
0日00:00:03,5.1480,0.0670,0.0004,0.0001,4.78,4.77
0日00:00:04,5.1460,0.0724,0.0005,0.0001,6.06,6.05
0日00:00:05,5.1430,0.0675,0.0006,0.0001,7.25,7.25
0日00:00:06,5.1440,0.0852,0.0007,0.0001,8.76,8.75
0日00:00:07,5.1440,0.0760,0.0008,0.0002,10.10,10.10
0日00:00:08,5.1520,0.0527,0.0009,0.0002,11.04,11.03
0日00:00:09,5.1520,0.0527,0.0010,0.0002,11.97,11.96
0日00:00:10,5.1520,0.0527,0.0010,0.0002,12.90,12.89
0日00:00:11,5.1520,0.0527,0.0011,0.0002,13.84,13.82
0日00:00:12,5.1520,0.0527,0.0012,0.0002,14.77,14.76
0日00:00:13,5.1180,0.1544,0.0014,0.0003,17.49,17.49
0日00:00:14,5.1260,0.0655,0.0015,0.0003,18.64,18.64
0日00:00:15,5.1450,0.0757,0.0016,0.0003,19.98,19.98
0日00:00:16,5.1460,0.0649,0.0017,0.0003,21.13,21.13
0日00:00:17,5.1510,0.0526,0.0018,0.0003,22.06,22.06
0日00:00:18,5.1510,0.0526,0.0019,0.0004,22.99,22.99
0日00:00:19,5.1510,0.0527,0.0019,0.0004,23.93,23.92
0日00:00:20,5.1510,0.0527,0.0020,0.0004,24.86,24.86
0日00:00:21,5.1510,0.0527,0.0021,0.0004,25.79,25.79
0日00:00:22,5.1180,0.1720,0.0023,0.0005,28.82,28.83
0日00:00:23,5.1390,0.0900,0.0025,0.0005,30.41,30.42
0日00:00:24,5.1450,0.0651,0.0025,0.0005,31.56,31.57
0日00:00:25,5.1500,0.0526,0.0026,0.0005,32.49,32.50
0日00:00:26,5.1510,0.0526,0.0027,0.0005,33.42,33.43
0日00:00:27,5.1510,0.0527,0.0028,0.0005,34.36,34.36
0日00:00:28,5.1510,0.0527,0.0029,0.0006,35.29,35.30
0日00:00:29,5.1510,0.0527,0.0029,0.0006,36.23,36.23
0日00:00:30,5.1510,0.0626,0.0030,0.0006,37.33,37.34
0日00:00:31,5.1390,0.0654,0.0031,0.0006,38.49,38.49
0日00:00:32,5.1440,0.0765,0.0032,0.0006,39.84,39.85
0日00:00:33,5.1440,0.0648,0.0033,0.0006,40.99,40.99
0日00:00:34,5.1510,0.0525,0.0034,0.0007,41.92,41.92
0日00:00:35,5.1510,0.0526,0.0035,0.0007,42.85,42.85
0日00:00:36,5.1510,0.0526,0.0035,0.0007,43.78,43.78
0日00:00:37,5.1510,0.0527,0.0036,0.0007,44.72,44.71
0日00:00:38,5.1500,0.0527,0.0037,0.0007,45.65,45.64
0日00:00:39,5.1170,0.1721,0.0039,0.0008,48.68,48.69
0日00:00:40,5.1320,0.0900,0.0041,0.0008,50.27,50.28
0日00:00:41,5.1450,0.0796,0.0042,0.0008,51.67,51.69
0日00:00:42,5.1480,0.0529,0.0043,0.0008,52.61,52.62
0日00:00:43,5.1500,0.0526,0.0043,0.0008,53.54,53.55
0日00:00:44,5.1500,0.0527,0.0044,0.0009,54.47,54.48
0日00:00:45,5.1500,0.0527,0.0045,0.0009,55.41,55.42
0日00:00:46,5.1500,0.0527,0.0046,0.0009,56.34,56.35
0日00:00:47,5.1500,0.0545,0.0046,0.0009,57.31,57.31
0日00:00:48,5.1230,0.0659,0.0047,0.0009,58.47,58.48
0日00:00:49,5.1400,0.0899,0.0049,0.0009,60.06,60.07
0日00:00:50,5.1430,0.0651,0.0049,0.0010,61.21,61.22
0日00:00:51,5.1500,0.0526,0.0050,0.0010,62.14,62.15
0日00:00:52,5.1500,0.0526,0.0051,0.0010,63.07,63.08
0日00:00:53,5.1500,0.0526,0.0052,0.0010,64.00,64.01
0日00:00:54,5.1500,0.0527,0.0052,0.0010,64.93,64.94
0日00:00:55,5.1500,0.0527,0.0053,0.0010,65.87,65.87
0日00:00:56,5.1480,0.0869,0.0054,0.0011,67.41,67.41
0日00:00:57,5.1370,0.0900,0.0056,0.0011,69.00,69.00
0日00:00:58,5.1440,0.0809,0.0057,0.0011,70.43,70.43
0日00:00:59,5.1470,0.0529,0.0058,0.0011,71.36,71.37
0日00:01:00,5.1500,0.0526,0.0058,0.0011,72.29,72.30
0日00:01:01,5.1500,0.0527,0.0059,0.0012,73.23,73.23
0日00:01:02,5.1500,0.0527,0.0060,0.0012,74.16,74.16
0日00:01:03,5.1500,0.0527,0.0061,0.0012,75.09,75.09
0日00:01:04,5.1500,0.0544,0.0061,0.0012,76.06,76.06
0日00:01:05,5.1270,0.0659,0.0062,0.0012,77.22,77.22
0日00:01:06,5.1340,0.0899,0.0064,0.0012,78.81,78.81
0日00:01:07,5.1420,0.0694,0.0065,0.0013,80.03,80.04
0日00:01:08,5.1490,0.0525,0.0065,0.0013,80.96,80.97
0日00:01:09,5.1500,0.0526,0.0066,0.0013,81.89,81.90
0日00:01:10,5.1500,0.0526,0.0067,0.0013,82.83,82.83
0日00:01:11,5.1490,0.0527,0.0068,0.0013,83.76,83.76
0日00:01:12,5.1490,0.0526,0.0068,0.0013,84.69,84.69
0日00:01:13,5.1490,0.0553,0.0069,0.0013,85.67,85.67
0日00:01:14,5.1340,0.0656,0.0070,0.0014,86.83,86.83
0日00:01:15,5.1440,0.0725,0.0071,0.0014,88.11,88.11
0日00:01:16,5.1440,0.0624,0.0072,0.0014,89.21,89.21
0日00:01:17,5.1490,0.0523,0.0073,0.0014,90.14,90.14
0日00:01:18,5.1490,0.0527,0.0074,0.0014,91.07,91.07
0日00:01:19,5.1490,0.0527,0.0074,0.0014,92.01,92.00
0日00:01:20,5.1490,0.0527,0.0075,0.0015,92.94,92.93
0日00:01:21,5.1490,0.0524,0.0076,0.0015,93.87,93.86
0日00:01:22,5.1350,0.1351,0.0078,0.0015,96.25,96.25
0日00:01:23,5.1380,0.0892,0.0079,0.0015,97.83,97.83
0日00:01:24,5.1420,0.0701,0.0080,0.0016,99.07,99.07
0日00:01:25,5.1480,0.0527,0.0081,0.0016,100.00,100.00
0日00:01:26,5.1490,0.0523,0.0082,0.0016,100.93,100.92
