This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1730,0.0587,0.0001,0.0000,3.65,3.65
0日00:00:01,5.1730,0.0607,0.0002,0.0000,7.42,7.42
0日00:00:02,5.1680,0.1355,0.0004,0.0001,15.83,15.83
0日00:00:03,5.1590,0.0688,0.0005,0.0001,20.10,20.10
0日00:00:04,5.1720,0.0679,0.0006,0.0001,24.32,24.32
0日00:00:05,5.1720,0.0676,0.0007,0.0001,28.52,28.52
0日00:00:06,5.1720,0.0676,0.0008,0.0001,32.72,32.72
0日00:00:07,5.1720,0.0674,0.0009,0.0002,36.91,36.90
0日00:00:08,5.1700,0.0734,0.0010,0.0002,41.46,41.46
0日00:00:09,5.1660,0.0794,0.0011,0.0002,46.39,46.39
0日00:00:10,5.1670,0.0859,0.0012,0.0002,51.72,51.73
0日00:00:11,5.1680,0.0677,0.0013,0.0003,55.93,55.93
0日00:00:12,5.1750,0.0532,0.0014,0.0003,59.24,59.23
0日00:00:13,5.1750,0.0532,0.0014,0.0003,62.54,62.54
0日00:00:14,5.1750,0.0531,0.0015,0.0003,65.84,65.84
0日00:00:15,5.1750,0.0531,0.0016,0.0003,69.15,69.13
0日00:00:16,5.1750,0.0531,0.0017,0.0003,72.45,72.43
0日00:00:17,5.1750,0.0624,0.0018,0.0003,76.33,76.31
0日00:00:18,5.1370,0.0660,0.0019,0.0004,80.40,80.41
0日00:00:19,5.1650,0.0905,0.0020,0.0004,86.02,86.03
0日00:00:20,5.1700,0.0657,0.0021,0.0004,90.10,90.11
0日00:00:21,5.1750,0.0531,0.0022,0.0004,93.40,93.40
0日00:00:22,5.1750,0.0531,0.0022,0.0004,96.70,96.70
0日00:00:23,5.1750,0.0531,0.0023,0.0004,100.00,100.00
0日00:00:24,5.1750,0.0531,0.0024,0.0005,103.30,103.30
