This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.0810,0.0671,0.0001,0.0000,1.23,1.23
0日00:00:01,5.0810,0.0668,0.0002,0.0000,2.46,2.46
0日00:00:02,5.0820,0.0664,0.0003,0.0001,3.68,3.68
0日00:00:03,5.0780,0.0770,0.0004,0.0001,5.09,5.09
0日00:00:04,5.0780,0.0752,0.0005,0.0001,6.47,6.47
0日00:00:05,5.0820,0.0654,0.0006,0.0001,7.67,7.67
0日00:00:06,5.0790,0.0665,0.0007,0.0001,8.90,8.89
0日00:00:07,5.0820,0.0661,0.0008,0.0002,10.11,10.11
0日00:00:08,5.0820,0.0660,0.0009,0.0002,11.32,11.32
0日00:00:09,5.0820,0.0660,0.0010,0.0002,12.54,12.53
0日00:00:10,5.0820,0.0660,0.0011,0.0002,13.75,13.74
0日00:00:11,5.0810,0.0834,0.0012,0.0002,15.28,15.27
0日00:00:12,5.0780,0.1607,0.0014,0.0003,18.23,18.23
0日00:00:13,5.0780,0.0834,0.0015,0.0003,19.76,19.76
0日00:00:14,5.0790,0.0664,0.0016,0.0003,20.98,20.98
0日00:00:15,5.0830,0.0652,0.0017,0.0003,22.18,22.17
0日00:00:16,5.0800,0.0878,0.0018,0.0004,23.79,23.78
0日00:00:17,5.0670,0.0697,0.0019,0.0004,25.07,25.06
0日00:00:18,5.0810,0.0715,0.0020,0.0004,26.38,26.38
0日00:00:19,5.0810,0.0656,0.0021,0.0004,27.58,27.58
0日00:00:20,5.0820,0.0653,0.0022,0.0004,28.78,28.78
0日00:00:21,5.0770,0.0664,0.0023,0.0005,30.00,30.00
0日00:00:22,5.0780,0.0835,0.0024,0.0005,31.54,31.53
0日00:00:23,5.0790,0.0665,0.0025,0.0005,32.76,32.75
0日00:00:24,5.0830,0.0654,0.0026,0.0005,33.96,33.96
0日00:00:25,5.0720,0.1422,0.0028,0.0006,36.57,36.57
0日00:00:26,5.0760,0.0834,0.0029,0.0006,38.10,38.10
0日00:00:27,5.0800,0.0727,0.0030,0.0006,39.43,39.43
0日00:00:28,5.0820,0.0653,0.0031,0.0006,40.63,40.63
0日00:00:29,5.0820,0.1191,0.0033,0.0006,42.82,42.82
0日00:00:30,5.0800,0.0755,0.0034,0.0007,44.21,44.20
0日00:00:31,5.0790,0.0771,0.0035,0.0007,45.62,45.62
0日00:00:32,5.0810,0.0648,0.0036,0.0007,46.81,46.81
0日00:00:33,5.0820,0.0653,0.0037,0.0007,48.01,48.01
0日00:00:34,5.0800,0.0669,0.0038,0.0007,49.24,49.24
0日00:00:35,5.0790,0.0837,0.0039,0.0008,50.78,50.77
0日00:00:36,5.0790,0.0671,0.0040,0.0008,52.01,52.01
0日00:00:37,5.0820,0.0654,0.0041,0.0008,53.21,53.21
0日00:00:38,5.0800,0.1119,0.0042,0.0008,55.26,55.26
0日00:00:39,5.0800,0.0834,0.0044,0.0009,56.80,56.79
0日00:00:40,5.0790,0.0672,0.0045,0.0009,58.03,58.03
0日00:00:41,5.0810,0.0650,0.0046,0.0009,59.22,59.22
0日00:00:42,5.0820,0.0652,0.0046,0.0009,60.42,60.42
0日00:00:43,5.0800,0.0809,0.0048,0.0009,61.91,61.90
0日00:00:44,5.0790,0.0817,0.0049,0.0010,63.41,63.40
0日00:00:45,5.0810,0.0652,0.0050,0.0010,64.61,64.60
0日00:00:46,5.0830,0.0655,0.0051,0.0010,65.81,65.80
0日00:00:47,5.0760,0.0665,0.0052,0.0010,67.03,67.02
0日00:00:48,5.0770,0.0835,0.0053,0.0010,68.56,68.56
0日00:00:49,5.0810,0.0664,0.0054,0.0011,69.78,69.78
0日00:00:50,5.0820,0.0653,0.0055,0.0011,70.98,70.97
0日00:00:51,5.0790,0.0824,0.0056,0.0011,72.49,72.49
0日00:00:52,5.0790,0.0834,0.0057,0.0011,74.02,74.02
0日00:00:53,5.0790,0.0664,0.0058,0.0011,75.24,75.24
0日00:00:54,5.0810,0.0653,0.0059,0.0012,76.44,76.44
0日00:00:55,5.0820,0.0859,0.0060,0.0012,78.02,78.01
0日00:00:56,5.0780,0.0694,0.0061,0.0012,79.30,79.29
0日00:00:57,5.0780,0.0714,0.0062,0.0012,80.61,80.60
0日00:00:58,5.0830,0.0654,0.0063,0.0012,81.81,81.80
0日00:00:59,5.0820,0.0952,0.0064,0.0013,83.56,83.55
0日00:01:00,5.0800,0.0664,0.0065,0.0013,84.78,84.77
0日00:01:01,5.0790,0.0822,0.0066,0.0013,86.29,86.28
0日00:01:02,5.0810,0.0664,0.0067,0.0013,87.51,87.50
0日00:01:03,5.0820,0.0660,0.0068,0.0013,88.72,88.71
0日00:01:04,5.0620,0.0662,0.0069,0.0014,89.93,89.92
0日00:01:05,5.0760,0.0834,0.0070,0.0014,91.46,91.45
0日00:01:06,5.0820,0.0669,0.0071,0.0014,92.69,92.68
0日00:01:07,5.0820,0.0668,0.0072,0.0014,93.92,93.91
0日00:01:08,5.0710,0.1143,0.0074,0.0015,96.01,96.01
0日00:01:09,5.0670,0.0749,0.0075,0.0015,97.38,97.38
0日00:01:10,5.0790,0.0762,0.0076,0.0015,98.78,98.78
0日00:01:11,5.0820,0.0663,0.0077,0.0015,100.00,100.00
0日00:01:12,5.0820,0.0664,0.0078,0.0015,101.22,101.22
