This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.1710,0.0001,0.0000,0.0000,0.00,0.00
0日00:00:01,5.1550,0.0641,0.0001,0.0000,3.15,3.15
0日00:00:02,5.1550,0.0560,0.0002,0.0000,5.89,5.89
0日00:00:03,5.1470,0.1586,0.0004,0.0001,13.66,13.66
0日00:00:04,5.1480,0.0682,0.0005,0.0001,17.00,17.00
0日00:00:05,5.1510,0.0705,0.0006,0.0001,20.46,20.46
0日00:00:06,5.1510,0.0713,0.0007,0.0001,23.95,23.95
0日00:00:07,5.1510,0.0714,0.0008,0.0002,27.45,27.45
0日00:00:08,5.1510,0.0783,0.0009,0.0002,31.29,31.29
0日00:00:09,5.1470,0.0700,0.0010,0.0002,34.71,34.72
0日00:00:10,5.1480,0.0849,0.0011,0.0002,38.87,38.88
0日00:00:11,5.1490,0.0845,0.0013,0.0002,43.01,43.02
0日00:00:12,5.1530,0.0534,0.0013,0.0003,45.63,45.64
0日00:00:13,5.1560,0.0533,0.0014,0.0003,48.24,48.25
0日00:00:14,5.1560,0.0532,0.0015,0.0003,50.85,50.86
0日00:00:15,5.1560,0.0533,0.0016,0.0003,53.47,53.47
0日00:00:16,5.1560,0.0533,0.0016,0.0003,56.08,56.08
0日00:00:17,5.1470,0.0855,0.0018,0.0003,60.27,60.27
0日00:00:18,5.1480,0.0890,0.0019,0.0004,64.63,64.63
0日00:00:19,5.1470,0.0862,0.0020,0.0004,68.85,68.86
0日00:00:20,5.1520,0.0532,0.0021,0.0004,71.45,71.46
0日00:00:21,5.1550,0.0529,0.0022,0.0004,74.05,74.06
0日00:00:22,5.1550,0.0532,0.0022,0.0004,76.66,76.66
0日00:00:23,5.1550,0.0532,0.0023,0.0004,79.27,79.27
0日00:00:24,5.1550,0.0557,0.0024,0.0005,82.00,82.00
0日00:00:25,5.1510,0.0651,0.0025,0.0005,85.19,85.19
0日00:00:26,5.1490,0.0891,0.0026,0.0005,89.55,89.56
0日00:00:27,5.1480,0.0536,0.0027,0.0005,92.18,92.18
0日00:00:28,5.1550,0.0531,0.0028,0.0005,94.78,94.79
0日00:00:29,5.1550,0.0531,0.0028,0.0006,97.39,97.39
0日00:00:30,5.1550,0.0533,0.0029,0.0006,100.00,100.00
0日00:00:31,5.1540,0.0519,0.0030,0.0006,102.54,102.54
