Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.156,0.0001,0,0,0,0
0日00:00:01,5.156,0.0094,0,0,0.1,0.1
0日00:00:02,5.152,0.0564,0.0001,0,0.71,0.71
0日00:00:03,5.152,0.0564,0.0002,0,1.32,1.32
0日00:00:04,5.151,0.0566,0.0003,0,1.93,1.93
0日00:00:05,5.151,0.0595,0.0003,0.0001,2.57,2.57
0日00:00:06,5.151,0.0593,0.0004,0.0001,3.21,3.21
0日00:00:07,5.151,0.0611,0.0005,0.0001,3.87,3.87
0日00:00:08,5.151,0.0567,0.0006,0.0001,4.48,4.48
0日00:00:09,5.152,0.0582,0.0007,0.0001,5.11,5.11
0日00:00:10,5.152,0.0576,0.0008,0.0001,5.73,5.73
0日00:00:11,5.152,0.0587,0.0008,0.0002,6.36,6.36
0日00:00:12,5.151,0.0568,0.0009,0.0002,6.97,6.97
0日00:00:13,5.152,0.0591,0.001,0.0002,7.61,7.61
0日00:00:14,5.152,0.056,0.0011,0.0002,8.21,8.21
0日00:00:15,5.152,0.0596,0.0012,0.0002,8.85,8.85
0日00:00:16,5.151,0.056,0.0013,0.0002,9.46,9.46
0日00:00:17,5.152,0.0594,0.0013,0.0003,10.1,10.1
0日00:00:18,5.152,0.056,0.0014,0.0003,10.7,10.7
0日00:00:19,5.152,0.0592,0.0015,0.0003,11.34,11.34
0日00:00:20,5.152,0.0556,0.0016,0.0003,11.94,11.94
0日00:00:21,5.152,0.0587,0.0017,0.0003,12.57,12.57
0日00:00:22,5.152,0.0557,0.0017,0.0003,13.17,13.17
0日00:00:23,5.152,0.0583,0.0018,0.0004,13.8,13.8
0日00:00:24,5.152,0.0558,0.0019,0.0004,14.4,14.4
0日00:00:25,5.152,0.0593,0.002,0.0004,15.04,15.04
0日00:00:26,5.152,0.0557,0.0021,0.0004,15.64,15.64
0日00:00:27,5.152,0.0593,0.0022,0.0004,16.28,16.28
0日00:00:28,5.152,0.0556,0.0022,0.0004,16.88,16.88
0日00:00:29,5.152,0.0569,0.0023,0.0005,17.49,17.49
0日00:00:30,5.152,0.0556,0.0024,0.0005,18.09,18.09
0日00:00:31,5.152,0.0591,0.0025,0.0005,18.73,18.73
0日00:00:32,5.152,0.0556,0.0026,0.0005,19.33,19.33
0日00:00:33,5.152,0.0591,0.0027,0.0005,19.96,19.97
0日00:00:34,5.152,0.0558,0.0027,0.0005,20.57,20.57
0日00:00:35,5.152,0.0588,0.0028,0.0005,21.2,21.2
0日00:00:36,5.152,0.0557,0.0029,0.0006,21.8,21.8
0日00:00:37,5.152,0.0589,0.003,0.0006,22.43,22.44
0日00:00:38,5.152,0.0556,0.0031,0.0006,23.03,23.03
0日00:00:39,5.152,0.059,0.0031,0.0006,23.67,23.67
0日00:00:40,5.152,0.0556,0.0032,0.0006,24.27,24.27
