Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.122,0.0001,0,0,0.01,0.01
0日00:00:01,5.137,0.0592,0.0001,0,3.04,3.04
0日00:00:02,5.147,0.0604,0.0002,0,6.13,6.13
0日00:00:03,5.133,0.0906,0.0003,0.0001,10.77,10.78
0日00:00:04,5.144,0.0698,0.0004,0.0001,14.35,14.35
0日00:00:05,5.144,0.07,0.0005,0.0001,17.94,17.94
0日00:00:06,5.144,0.0696,0.0006,0.0001,21.51,21.51
0日00:00:07,5.144,0.0688,0.0007,0.0001,25.03,25.03
0日00:00:08,5.142,0.087,0.0008,0.0002,29.49,29.49
0日00:00:09,5.141,0.0868,0.0009,0.0002,33.94,33.94
0日00:00:10,5.12,0.0744,0.0011,0.0002,37.74,37.75
0日00:00:11,5.142,0.0678,0.0011,0.0002,41.21,41.22
0日00:00:12,5.144,0.0679,0.0012,0.0002,44.69,44.7
0日00:00:13,5.144,0.0678,0.0013,0.0003,48.17,48.18
0日00:00:14,5.144,0.0675,0.0014,0.0003,51.63,51.64
0日00:00:15,5.143,0.0859,0.0016,0.0003,56.03,56.04
0日00:00:16,5.142,0.068,0.0017,0.0003,59.52,59.52
0日00:00:17,5.141,0.0678,0.0018,0.0003,62.99,63
0日00:00:18,5.141,0.0732,0.0019,0.0004,66.74,66.75
0日00:00:19,5.144,0.0541,0.0019,0.0004,69.51,69.52
0日00:00:20,5.148,0.0534,0.002,0.0004,72.25,72.26
0日00:00:21,5.148,0.0536,0.0021,0.0004,75,75
0日00:00:22,5.148,0.0542,0.0022,0.0004,77.78,77.78
0日00:00:23,5.148,0.0534,0.0022,0.0004,80.52,80.52
0日00:00:24,5.148,0.0546,0.0023,0.0005,83.33,83.32
0日00:00:25,5.132,0.0955,0.0025,0.0005,88.21,88.21
0日00:00:26,5.137,0.0897,0.0026,0.0005,92.8,92.81
0日00:00:27,5.142,0.0862,0.0027,0.0005,97.22,97.22
0日00:00:28,5.145,0.0542,0.0028,0.0005,100,100
0日00:00:29,5.148,0.0537,0.0029,0.0006,102.76,102.75
